group_history_insertion,collector_monitoring_information_bolt,status_metric_extraction
0.283,0.453,0.0
0.288,0.443,0.0
0.29,0.45,0.0
0.298,0.458,1.0
0.291,0.451,1.0
0.287,0.455,1.0
0.298,0.436,1.0
0.289,0.435,2.0
0.296,0.419,0.0
0.287,0.426,0.0
0.285,0.415,0.0
0.298,0.423,0.0
0.295,0.429,0.0
0.287,0.409,0.0
0.295,0.414,0.0
0.309,0.415,0.0
0.311,0.407,1.0
0.311,0.41,0.0
0.298,0.426,0.0
0.299,0.438,0.0
0.294,0.448,1.0
0.307,0.459,0.0
0.307,0.462,0.0
0.294,0.467,0.0
0.297,0.458,0.0
0.301,0.449,0.0
0.3,0.479,1.0
0.302,0.472,2.0
0.305,0.487,2.0
0.306,0.491,1.0
0.312,0.484,2.0
0.321,0.488,1.0
0.303,0.48,1.0
0.299,0.463,1.0
0.298,0.465,1.0
0.298,0.479,2.0
0.295,0.467,2.0
0.298,0.475,2.0
0.292,0.482,2.0
0.309,0.476,1.0
0.297,0.479,1.0
0.287,0.463,0.0
0.293,0.456,1.0
0.302,0.466,1.0
0.306,0.471,1.0
0.29,0.475,1.0
0.291,0.457,0.0
0.292,0.447,0.0
0.296,0.441,0.0
0.303,0.43,0.0
0.297,0.432,0.0
0.296,0.433,0.0
0.289,0.441,1.0
0.288,0.457,1.0
0.294,0.441,0.0
0.295,0.451,0.0
0.289,0.456,0.0
0.289,0.446,0.0
0.287,0.442,0.0
0.283,0.437,0.0
0.283,0.44,0.0
0.289,0.433,0.0
0.299,0.433,0.0
0.283,0.439,0.0
0.293,0.437,0.0
0.289,0.434,0.0
0.284,0.429,1.0
0.287,0.434,1.0
0.288,0.429,2.0
0.278,0.433,1.0
0.276,0.445,1.0
0.281,0.444,2.0
0.279,0.435,1.0
0.285,0.45,2.0
0.285,0.44,1.0
0.279,0.444,1.0
0.288,0.438,1.0
0.291,0.435,1.0
0.305,0.44,1.0
0.3,0.436,1.0
0.291,0.427,2.0
0.293,0.427,1.0
0.291,0.429,1.0
0.299,0.424,0.0
0.287,0.425,1.0
0.282,0.444,1.0
0.279,0.446,1.0
0.284,0.453,1.0
0.274,0.44,0.0
0.276,0.444,0.0
0.275,0.432,0.0
0.282,0.43,0.0
0.278,0.432,0.0
0.286,0.438,0.0
0.288,0.447,0.0
0.281,0.432,0.0
0.283,0.424,0.0
0.309,0.43,1.0
0.3,0.433,0.0
0.29,0.452,1.0
0.283,0.463,0.0
0.283,0.464,0.0
0.281,0.463,1.0
0.285,0.447,0.0
0.281,0.444,1.0
0.276,0.443,1.0
0.274,0.443,1.0
0.276,0.432,0.0
0.276,0.453,0.0
0.283,0.455,0.0
0.285,0.447,0.0
0.276,0.445,0.0
0.26,0.441,0.0
0.262,0.448,0.0
0.27,0.457,0.0
0.273,0.455,0.0
0.261,0.459,0.0
0.262,0.467,0.0
0.264,0.461,1.0
0.267,0.44,0.0
0.256,0.427,0.0
0.26,0.421,0.0
0.258,0.432,1.0
0.257,0.433,0.0
0.263,0.428,0.0
0.261,0.428,0.0
0.274,0.436,0.0
0.274,0.432,0.0
0.279,0.438,0.0
0.268,0.427,0.0
0.275,0.435,0.0
0.271,0.458,0.0
0.271,0.454,0.0
0.269,0.452,0.0
0.27,0.45,0.0
0.274,0.466,0.0
0.276,0.467,0.0
0.27,0.457,0.0
0.272,0.459,0.0
0.266,0.479,0.0
0.257,0.472,0.0
0.257,0.468,0.0
0.261,0.47,1.0
0.26,0.466,1.0
0.261,0.478,1.0
0.262,0.473,1.0
0.281,0.462,1.0
0.275,0.467,0.0
0.274,0.451,0.0
0.277,0.444,0.0
0.271,0.436,0.0
0.272,0.438,0.0
0.266,0.442,0.0
0.268,0.429,0.0
0.277,0.421,0.0
0.29,0.421,0.0
0.284,0.409,0.0
0.281,0.413,0.0
0.271,0.423,0.0
0.275,0.424,0.0
0.282,0.426,0.0
0.277,0.429,0.0
0.27,0.434,0.0
0.279,0.431,0.0
0.275,0.438,0.0
0.271,0.427,0.0
0.274,0.433,0.0
0.283,0.435,0.0
0.277,0.43,0.0
0.278,0.441,0.0
0.283,0.44,0.0
0.287,0.441,0.0
0.29,0.429,0.0
0.309,0.431,0.0
0.305,0.429,0.0
0.298,0.435,0.0
0.288,0.43,0.0
0.284,0.414,0.0
0.275,0.408,0.0
0.284,0.394,0.0
0.285,0.392,0.0
0.279,0.394,0.0
0.264,0.393,0.0
0.258,0.384,0.0
0.262,0.404,0.0
0.262,0.41,0.0
0.258,0.401,0.0
0.266,0.401,0.0
0.266,0.413,0.0
0.272,0.426,0.0
0.26,0.436,0.0
0.268,0.449,0.0
0.269,0.454,0.0
0.272,0.461,0.0
0.275,0.452,1.0
0.267,0.447,0.0
0.266,0.452,1.0
0.26,0.466,0.0
0.268,0.462,0.0
0.27,0.459,0.0
0.276,0.465,0.0
0.272,0.463,0.0
0.273,0.462,0.0
0.266,0.446,0.0
0.283,0.457,0.0
0.284,0.459,0.0
0.288,0.457,0.0
0.292,0.464,0.0
0.291,0.455,0.0
0.278,0.446,0.0
0.274,0.451,0.0
0.279,0.441,0.0
0.279,0.448,0.0
0.282,0.44,0.0
0.287,0.438,0.0
0.279,0.441,0.0
0.275,0.448,0.0
0.273,0.44,0.0
0.27,0.456,0.0
0.267,0.456,0.0
0.268,0.445,0.0
0.264,0.439,0.0
0.266,0.447,0.0
0.278,0.445,0.0
0.27,0.441,0.0
0.284,0.446,0.0
0.292,0.447,0.0
0.282,0.455,0.0
0.261,0.446,0.0
0.264,0.44,0.0
0.261,0.445,0.0
0.27,0.454,0.0
0.278,0.441,0.0
0.278,0.429,0.0
0.282,0.424,0.0
0.275,0.418,0.0
0.275,0.409,0.0
0.267,0.404,0.0
0.27,0.391,0.0
0.276,0.419,0.0
0.281,0.42,0.0
0.272,0.429,0.0
0.276,0.431,0.0
0.278,0.435,0.0
0.281,0.442,0.0
0.288,0.447,0.0
0.291,0.449,0.0
0.288,0.464,0.0
0.278,0.458,0.0
0.286,0.452,0.0
0.273,0.456,0.0
0.273,0.452,0.0
0.277,0.45,0.0
0.272,0.445,0.0
0.274,0.46,0.0
0.268,0.456,0.0
0.259,0.469,0.0
0.272,0.46,0.0
0.271,0.461,0.0
0.267,0.451,0.0
0.271,0.447,0.0
0.275,0.445,0.0
0.281,0.455,0.0
0.276,0.456,0.0
0.277,0.437,0.0
0.277,0.437,0.0
0.279,0.42,0.0
0.28,0.424,0.0
0.277,0.431,0.0
0.26,0.422,0.0
0.261,0.43,0.0
0.26,0.426,0.0
0.256,0.416,0.0
0.261,0.408,0.0
0.267,0.423,0.0
0.264,0.424,0.0
0.265,0.443,0.0
0.266,0.433,0.0
0.272,0.439,0.0
0.277,0.434,0.0
0.261,0.438,0.0
