group_history_insertion,collector_monitoring_information_bolt,status_metric_extraction
0.309,0.414,0.0
0.312,0.414,0.0
0.31,0.42,0.0
0.309,0.426,0.0
0.314,0.427,0.0
0.317,0.429,0.0
0.314,0.424,0.0
0.323,0.42,0.0
0.335,0.419,0.0
0.332,0.41,0.0
0.343,0.41,0.0
0.329,0.425,0.0
0.327,0.421,0.0
0.321,0.416,0.0
0.309,0.409,0.0
0.305,0.407,0.0
0.308,0.421,0.0
0.306,0.42,0.0
0.304,0.423,0.0
0.313,0.426,0.0
0.307,0.419,0.0
0.3,0.443,0.0
0.304,0.431,0.0
0.295,0.424,0.0
0.298,0.43,0.0
0.307,0.435,0.0
0.309,0.437,0.0
0.306,0.429,0.0
0.307,0.43,0.0
0.3,0.424,0.0
0.3,0.429,0.0
0.307,0.404,0.0
0.315,0.41,0.0
0.313,0.423,0.0
0.302,0.438,0.0
0.313,0.444,0.0
0.321,0.451,0.0
0.33,0.447,0.0
0.324,0.446,0.0
0.319,0.459,0.0
0.318,0.47,0.0
0.312,0.466,0.0
0.307,0.459,0.0
0.301,0.464,0.0
0.31,0.457,0.0
0.303,0.451,0.0
0.313,0.44,0.0
0.308,0.443,0.0
0.311,0.445,0.0
0.324,0.462,0.0
0.317,0.467,0.0
0.319,0.462,0.0
0.319,0.469,0.0
0.32,0.452,0.0
0.302,0.435,0.0
0.306,0.427,0.0
0.294,0.433,0.0
0.303,0.431,0.0
0.306,0.442,0.0
0.299,0.431,0.0
0.293,0.424,0.0
0.295,0.412,0.0
0.289,0.412,0.0
0.318,0.413,0.0
0.31,0.418,0.0
0.305,0.417,0.0
0.311,0.43,0.0
0.306,0.441,0.0
0.299,0.451,0.0
0.302,0.451,0.0
0.313,0.446,0.0
0.309,0.45,0.0
0.308,0.454,0.0
0.309,0.463,0.0
0.303,0.475,0.0
0.295,0.479,0.0
0.299,0.47,0.0
0.302,0.457,0.0
0.304,0.431,0.0
0.318,0.415,0.0
0.312,0.421,0.0
0.311,0.426,0.0
0.306,0.421,0.0
0.298,0.407,0.0
0.296,0.402,0.0
0.31,0.391,0.0
0.3,0.388,0.0
0.298,0.39,0.0
0.296,0.394,0.0
0.301,0.399,0.0
0.3,0.407,0.0
0.3,0.404,0.0
0.3,0.401,0.0
0.295,0.406,0.0
0.309,0.41,0.0
0.309,0.42,0.0
0.32,0.425,0.0
0.342,0.427,0.0
0.321,0.429,0.0
0.322,0.416,0.0
0.318,0.419,0.0
0.311,0.421,0.0
0.317,0.436,0.0
0.317,0.434,0.0
0.314,0.425,0.0
0.312,0.431,0.0
0.306,0.419,0.0
