group_history_insertion,collector_monitoring_information_bolt,status_metric_extraction
0.323,0.471,0.0
0.325,0.474,0.0
0.322,0.474,1.0
0.313,0.469,1.0
0.321,0.463,1.0
0.314,0.445,0.0
0.326,0.455,1.0
0.319,0.457,2.0
0.32,0.458,1.0
0.321,0.461,1.0
0.326,0.47,1.0
0.331,0.481,1.0
0.334,0.466,1.0
0.336,0.474,1.0
0.327,0.466,1.0
0.323,0.47,1.0
0.327,0.458,1.0
0.332,0.446,1.0
0.328,0.448,1.0
0.323,0.432,1.0
0.315,0.421,0.0
0.318,0.414,0.0
0.313,0.414,1.0
0.313,0.42,1.0
0.309,0.414,1.0
0.308,0.424,1.0
0.306,0.418,0.0
0.317,0.431,0.0
0.325,0.437,0.0
0.316,0.428,0.0
0.311,0.432,1.0
0.315,0.437,1.0
0.307,0.435,1.0
0.323,0.445,1.0
0.325,0.437,2.0
0.319,0.432,1.0
0.313,0.416,1.0
0.314,0.415,1.0
0.312,0.403,2.0
0.307,0.407,2.0
0.321,0.395,2.0
0.314,0.396,2.0
0.323,0.407,2.0
0.313,0.404,1.0
0.31,0.4,1.0
0.312,0.409,1.0
0.324,0.416,0.0
0.329,0.421,0.0
0.327,0.433,0.0
0.321,0.432,0.0
0.332,0.465,1.0
0.325,0.469,1.0
0.335,0.454,0.0
0.332,0.453,1.0
0.322,0.455,0.0
0.321,0.445,1.0
0.321,0.443,0.0
0.307,0.452,0.0
0.31,0.443,0.0
0.304,0.45,1.0
0.319,0.456,1.0
0.325,0.448,1.0
0.324,0.457,1.0
0.319,0.455,0.0
0.322,0.441,1.0
0.323,0.434,0.0
0.327,0.432,1.0
0.334,0.431,0.0
0.326,0.435,1.0
0.324,0.442,1.0
0.321,0.443,2.0
0.328,0.446,1.0
0.332,0.423,1.0
0.333,0.424,1.0
0.315,0.431,0.0
0.318,0.43,0.0
0.316,0.436,0.0
0.325,0.437,0.0
0.313,0.445,0.0
0.313,0.443,0.0
0.318,0.445,1.0
0.311,0.438,1.0
0.313,0.454,1.0
0.312,0.438,0.0
0.317,0.434,1.0
0.319,0.422,1.0
0.322,0.426,1.0
0.323,0.434,1.0
0.311,0.435,1.0
0.313,0.436,1.0
0.314,0.442,1.0
0.318,0.447,0.0
0.324,0.447,1.0
0.323,0.455,0.0
0.332,0.455,0.0
0.324,0.448,0.0
0.328,0.446,0.0
0.328,0.429,0.0
0.331,0.425,1.0
0.335,0.427,1.0
0.334,0.433,1.0
0.34,0.428,1.0
0.339,0.445,1.0
0.337,0.439,0.0
0.335,0.452,0.0
0.336,0.452,1.0
0.331,0.454,1.0
0.331,0.445,0.0
0.335,0.438,0.0
0.327,0.441,1.0
0.321,0.444,1.0
0.309,0.447,1.0
0.319,0.443,1.0
0.33,0.456,0.0
0.332,0.469,0.0
0.336,0.468,0.0
0.339,0.461,0.0
0.323,0.464,0.0
