timestamp,ram_global_prct,cpu_global_prct,disk_io_read_mega_byte,disk_io_write_mega_byte,consumers_causality_1,messages_causality_1,publish_rate_causality_1
1638869993,71.6,4.8,275223.38,80048.75,0,3579,107.4
1638869994,71.9,6.2,275223.38,80051.15,73,3579,165.2
1638869995,71.9,5.6,275223.38,80051.34,73,0,1.2
1638869996,71.9,7.9,275223.38,80051.34,18,0,1.2
1638869997,71.9,12.3,275223.38,80051.34,18,0,1.2
1638869998,72.3,15.2,275223.61,80051.34,18,0,1.2
1638869999,72.2,12.2,275223.61,80051.36,36,0,1.2
1638870000,72.2,7.7,275223.61,80051.83,36,34,9.4
1638870001,72.1,4.2,275223.61,80051.85,36,34,9.4
1638870002,72.3,7.1,275223.61,80051.85,35,34,9.4
1638870003,72.4,5.3,275223.61,80051.85,35,34,9.4
1638870004,72.4,5.7,275223.64,80060.27,35,34,9.4
1638870005,72.6,6.7,275223.64,80060.39,25,90,18.2
1638870006,72.5,4.6,275223.64,80060.39,25,90,18.2
1638870008,72.5,4.9,275223.64,80060.51,25,90,18.2
1638870009,72.9,10.3,275223.64,80060.9,88,90,18.2
1638870010,72.9,10.2,275223.64,80060.9,88,90,18.2
1638870011,72.8,33.2,275223.64,80060.9,88,227,29.4
1638870012,73.0,11.8,275223.64,80061.01,86,227,29.4
1638870013,73.0,8.7,275223.69,80061.02,86,227,29.4
1638870014,73.1,9.0,275223.69,80061.02,86,227,29.4
1638870015,73.3,8.5,275223.69,80061.02,73,227,29.4
1638870016,73.3,11.5,275223.69,80061.02,73,427,43.0
1638870017,73.3,10.9,275223.69,80061.11,73,427,43.0
1638870018,73.6,11.6,275223.69,80061.11,96,427,43.0
1638870019,73.5,11.3,275223.7,80061.12,96,427,43.0
1638870020,73.5,11.2,275223.7,80061.56,96,427,43.0
1638870021,73.7,13.7,275223.7,80061.83,14,682,53.4
1638870022,73.8,9.1,275223.7,80061.83,14,682,53.4
1638870023,74.0,21.2,275223.71,80061.89,14,682,53.4
1638870024,74.0,10.6,275223.71,80061.89,37,682,53.4
1638870025,74.0,8.6,275223.71,80074.08,37,1009,67.4
1638870026,74.3,10.3,275223.71,80074.08,6,1009,67.4
1638870027,74.3,10.0,275223.71,80074.08,9,1009,67.4
1638870028,74.3,11.1,275223.71,80074.22,9,1009,67.4
1638870029,74.5,6.7,275223.71,80074.61,90,1009,67.4
1638870030,74.5,4.7,275223.71,80075.49,90,1401,83.0
1638870031,74.4,5.2,275223.71,80075.49,90,1401,83.0
1638870032,74.6,6.4,275223.71,80075.49,14,1401,83.0
1638870033,74.7,6.1,275223.71,80075.65,14,1401,83.0
1638870034,74.6,5.9,275223.71,80075.65,14,1401,83.0
1638870035,74.8,7.2,275223.71,80075.65,40,1856,87.6
1638870036,74.8,5.1,275223.71,80075.65,40,1856,87.6
1638870038,74.8,7.0,275223.71,80075.65,40,1856,87.6
1638870039,75.0,8.5,275223.71,80075.73,87,1856,87.6
1638870040,74.9,5.2,275223.71,80075.73,87,1856,87.6
1638870041,74.9,3.9,275223.71,80075.73,87,2385,108.2
1638870042,75.1,7.3,275223.71,80075.73,54,2385,108.2
1638870043,75.0,6.3,275223.71,80075.73,54,2385,108.2
1638870044,75.1,5.5,275223.71,80075.81,54,2385,108.2
1638870045,75.3,7.4,275223.71,80075.81,25,2385,108.2
1638870046,75.3,5.8,275223.71,80086.36,25,2958,122.2
1638870047,75.3,5.6,275223.71,80086.36,25,2958,122.2
1638870048,75.6,8.4,275223.71,80086.36,16,2958,122.2
1638870049,75.5,4.6,275223.71,80086.77,16,2958,122.2
1638870050,75.5,4.9,275223.71,80086.77,16,2958,122.2
1638870051,75.7,6.9,275223.71,80087.65,20,3586,113.0
1638870052,75.7,5.1,275223.71,80087.65,20,3586,113.0
1638870053,75.8,5.7,275223.71,80087.65,20,3586,113.0
1638870054,76.0,8.0,275223.71,80087.73,66,3586,113.0
1638870055,76.0,4.7,275223.71,80087.73,66,4285,141.6
1638870056,76.1,7.1,275223.71,80087.73,0,4285,141.6
1638870057,76.2,6.7,275223.71,80087.74,25,4285,141.6
1638870058,76.3,6.7,275223.71,80087.74,25,4285,141.6
1638870059,76.4,7.7,275223.71,80087.81,3,4285,141.6
1638870060,76.4,5.0,275223.71,80087.81,22,5050,156.0
1638870061,76.4,6.0,275223.71,80087.87,22,5050,156.0
1638870062,76.6,8.2,275223.71,80087.87,13,5050,156.0
1638870063,76.8,6.8,275223.71,80087.87,13,5050,156.0
1638870064,76.7,5.4,275223.71,80087.87,13,5050,156.0
1638870065,76.9,8.0,275223.71,80087.87,17,5877,164.8
1638870067,76.8,7.4,275223.71,80088.31,80,5877,164.8
1638870068,76.8,5.5,275223.71,80088.31,80,5877,164.8
1638870069,77.2,9.1,275223.71,80088.31,5,5877,164.8
1638870070,77.2,6.9,275223.71,80088.47,5,5877,164.8
1638870071,77.2,6.7,275223.71,80088.7,5,6780,181.4
1638870072,77.4,8.1,275223.71,80088.7,38,6780,181.4
1638870073,77.4,5.1,275223.71,80088.7,38,6780,181.4
