;capacity_last_metric_bolt;capacity_elastic_search_bolt;pre_Message_dispatcher_bolt;check_message_bolt;message_dispatcher_bolt;metric_bolt;group_status_information_bolt;Real_time_merger_bolt
45683;0.8240000000000001;0.009;0.0069999999999999;0.342;0.475;0.647;0.665;0.002
45684;0.8220000000000001;0.009;0.0069999999999999;0.34;0.482;0.6709999999999999;0.662;0.002
45685;0.8290000000000001;0.01;0.0069999999999999;0.346;0.475;0.6579999999999999;0.659;0.002
45686;0.838;0.011;0.0069999999999999;0.346;0.467;0.6629999999999999;0.655;0.002
45687;0.8290000000000001;0.01;0.0069999999999999;0.348;0.461;0.664;0.653;0.002
45688;0.8290000000000001;0.009;0.008;0.348;0.465;0.652;0.6609999999999999;0.002
45689;0.831;0.009;0.008;0.353;0.467;0.662;0.672;0.002
45690;0.8290000000000001;0.01;0.008;0.35;0.462;0.657;0.669;0.002
45691;0.8290000000000001;0.01;0.008;0.353;0.467;0.642;0.68;0.002
45692;0.8290000000000001;0.011;0.008;0.354;0.465;0.6559999999999999;0.68;0.002
45693;0.8340000000000001;0.011;0.008;0.362;0.472;0.6629999999999999;0.675;0.002
45694;0.8270000000000001;0.01;0.008;0.362;0.462;0.6629999999999999;0.6659999999999999;0.002
45695;0.831;0.009;0.008;0.361;0.494;0.662;0.669;0.002
45696;0.8340000000000001;0.01;0.008;0.349;0.492;0.6629999999999999;0.6779999999999999;0.002
45697;0.841;0.01;0.0069999999999999;0.352;0.503;0.674;0.659;0.002
45698;0.8490000000000001;0.01;0.0069999999999999;0.354;0.515;0.674;0.653;0.002
45699;0.8340000000000001;0.01;0.0069999999999999;0.361;0.519;0.68;0.669;0.002
45700;0.845;0.01;0.0069999999999999;0.359;0.512;0.6759999999999999;0.6679999999999999;0.002
45701;0.867;0.011;0.0069999999999999;0.354;0.502;0.6920000000000001;0.674;0.002
45702;0.863;0.011;0.0069999999999999;0.364;0.492;0.7240000000000001;0.667;0.002
45703;0.858;0.011;0.0069999999999999;0.361;0.489;0.721;0.674;0.002
45704;0.843;0.01;0.0069999999999999;0.344;0.488;0.7020000000000001;0.675;0.002
45705;0.8320000000000001;0.011;0.006;0.348;0.471;0.7020000000000001;0.6709999999999999;0.002
45706;0.841;0.008;0.0069999999999999;0.351;0.466;0.6920000000000001;0.67;0.002
45707;0.835;0.009;0.0069999999999999;0.347;0.465;0.691;0.6759999999999999;0.002
45708;0.85;0.009;0.0069999999999999;0.34;0.465;0.684;0.6779999999999999;0.002
45709;0.84;0.009;0.006;0.332;0.467;0.677;0.6709999999999999;0.002
45710;0.853;0.009;0.0069999999999999;0.3379999999999999;0.479;0.667;0.6809999999999999;0.002
45711;0.851;0.009;0.0069999999999999;0.3429999999999999;0.473;0.653;0.6629999999999999;0.002
45712;0.8270000000000001;0.009;0.0069999999999999;0.344;0.472;0.664;0.688;0.002
45713;0.8340000000000001;0.01;0.0069999999999999;0.351;0.471;0.654;0.679;0.002
45714;0.8390000000000001;0.012;0.0069999999999999;0.342;0.479;0.65;0.691;0.002
45715;0.84;0.012;0.006;0.344;0.473;0.6509999999999999;0.69;0.002
45716;0.8270000000000001;0.013;0.006;0.35;0.4679999999999999;0.659;0.6829999999999999;0.002
45717;0.841;0.0139999999999999;0.0069999999999999;0.351;0.484;0.653;0.672;0.002
45718;0.838;0.012;0.0069999999999999;0.354;0.477;0.65;0.665;0.002
45719;0.8270000000000001;0.012;0.0069999999999999;0.348;0.484;0.6459999999999999;0.664;0.002
45720;0.8540000000000001;0.012;0.0069999999999999;0.349;0.47;0.6559999999999999;0.675;0.002
45721;0.8490000000000001;0.013;0.0069999999999999;0.341;0.456;0.67;0.667;0.002
45722;0.851;0.013;0.0069999999999999;0.344;0.467;0.662;0.6609999999999999;0.002
45723;0.865;0.013;0.0069999999999999;0.35;0.471;0.645;0.664;0.002
45724;0.846;0.009;0.0069999999999999;0.3429999999999999;0.477;0.6409999999999999;0.654;0.002
45725;0.84;0.009;0.0069999999999999;0.353;0.487;0.665;0.649;0.002
45726;0.8220000000000001;0.009;0.0069999999999999;0.347;0.492;0.657;0.6629999999999999;0.002
45727;0.835;0.008;0.006;0.345;0.513;0.675;0.662;0.003
45728;0.8290000000000001;0.0069999999999999;0.006;0.341;0.506;0.691;0.66;0.002
45729;0.8370000000000001;0.008;0.0069999999999999;0.335;0.497;0.701;0.657;0.002
45730;0.853;0.008;0.0069999999999999;0.35;0.487;0.698;0.654;0.002
45731;0.853;0.009;0.008;0.336;0.486;0.685;0.65;0.002
45732;0.867;0.009;0.0069999999999999;0.345;0.489;0.67;0.654;0.002
45733;0.856;0.01;0.0069999999999999;0.352;0.5;0.638;0.662;0.002
45734;0.843;0.01;0.006;0.356;0.499;0.644;0.6579999999999999;0.003
45735;0.828;0.01;0.0069999999999999;0.351;0.506;0.655;0.657;0.002
45736;0.8290000000000001;0.01;0.008;0.341;0.493;0.6609999999999999;0.6629999999999999;0.002
45737;0.8270000000000001;0.011;0.008;0.35;0.492;0.664;0.657;0.002
45738;0.8220000000000001;0.011;0.008;0.35;0.494;0.6579999999999999;0.652;0.002
45739;0.821;0.011;0.008;0.362;0.502;0.657;0.657;0.002
45740;0.828;0.011;0.0069999999999999;0.359;0.497;0.657;0.654;0.002
45741;0.831;0.012;0.008;0.353;0.49;0.64;0.66;0.002
45742;0.848;0.012;0.008;0.3389999999999999;0.479;0.635;0.6459999999999999;0.002
45743;0.85;0.012;0.008;0.3429999999999999;0.487;0.649;0.645;0.002
45744;0.84;0.011;0.008;0.344;0.497;0.649;0.6509999999999999;0.002
45745;0.8320000000000001;0.01;0.008;0.344;0.49;0.662;0.6559999999999999;0.002
45746;0.8220000000000001;0.01;0.0069999999999999;0.341;0.498;0.6609999999999999;0.654;0.002
45747;0.8270000000000001;0.009;0.0069999999999999;0.349;0.487;0.6629999999999999;0.6509999999999999;0.002
45748;0.8320000000000001;0.01;0.0069999999999999;0.346;0.483;0.662;0.6459999999999999;0.002
45749;0.843;0.01;0.0069999999999999;0.355;0.48;0.659;0.6459999999999999;0.003
45750;0.8370000000000001;0.01;0.0069999999999999;0.36;0.476;0.6579999999999999;0.675;0.003
45751;0.83;0.011;0.0069999999999999;0.354;0.491;0.6709999999999999;0.66;0.003
45752;0.8340000000000001;0.01;0.0069999999999999;0.37;0.481;0.6679999999999999;0.654;0.003
45753;0.821;0.01;0.0069999999999999;0.372;0.489;0.6609999999999999;0.6559999999999999;0.003
45754;0.8140000000000001;0.01;0.006;0.374;0.495;0.675;0.639;0.003
45755;0.8440000000000001;0.01;0.006;0.381;0.479;0.674;0.647;0.003
45756;0.8420000000000001;0.011;0.006;0.374;0.494;0.662;0.672;0.002
45757;0.826;0.012;0.006;0.364;0.493;0.65;0.6759999999999999;0.002
45758;0.82;0.012;0.006;0.345;0.481;0.642;0.6779999999999999;0.002
45759;0.835;0.012;0.006;0.3429999999999999;0.474;0.645;0.677;0.002
45760;0.838;0.011;0.0069999999999999;0.335;0.479;0.647;0.6609999999999999;0.002
45761;0.8320000000000001;0.011;0.0069999999999999;0.3389999999999999;0.497;0.649;0.6629999999999999;0.002
45762;0.828;0.01;0.0069999999999999;0.345;0.501;0.65;0.679;0.002
45763;0.83;0.01;0.008;0.3339999999999999;0.504;0.642;0.687;0.002
45764;0.8340000000000001;0.01;0.008;0.33;0.511;0.6459999999999999;0.6920000000000001;0.002
45765;0.8140000000000001;0.011;0.008;0.3429999999999999;0.516;0.657;0.687;0.002
45766;0.816;0.01;0.008;0.352;0.486;0.655;0.716;0.002
45767;0.816;0.01;0.008;0.349;0.49;0.6759999999999999;0.705;0.002
45768;0.818;0.01;0.008;0.346;0.495;0.652;0.69;0.002
45769;0.809;0.01;0.008;0.342;0.496;0.653;0.6609999999999999;0.002
45770;0.812;0.011;0.008;0.346;0.489;0.655;0.665;0.002
45771;0.802;0.011;0.0069999999999999;0.354;0.488;0.659;0.653;0.002
45772;0.8140000000000001;0.011;0.0069999999999999;0.342;0.488;0.6579999999999999;0.665;0.002
45773;0.8170000000000001;0.011;0.0069999999999999;0.352;0.487;0.68;0.675;0.002
45774;0.823;0.01;0.0069999999999999;0.351;0.49;0.6709999999999999;0.6659999999999999;0.002
45775;0.8270000000000001;0.01;0.0069999999999999;0.358;0.491;0.648;0.6679999999999999;0.002
45776;0.83;0.01;0.0069999999999999;0.356;0.48;0.649;0.6579999999999999;0.002
45777;0.8240000000000001;0.01;0.0069999999999999;0.353;0.484;0.644;0.664;0.002
45778;0.807;0.01;0.0069999999999999;0.353;0.48;0.638;0.645;0.002
45779;0.816;0.009;0.006;0.345;0.476;0.644;0.642;0.002
45780;0.838;0.008;0.0069999999999999;0.351;0.481;0.639;0.642;0.002
45781;0.833;0.009;0.0069999999999999;0.365;0.492;0.629;0.6509999999999999;0.002
45782;0.838;0.01;0.0069999999999999;0.359;0.455;0.639;0.645;0.002
45783;0.833;0.01;0.0069999999999999;0.3389999999999999;0.461;0.636;0.639;0.002
45784;0.857;0.008;0.008;0.335;0.466;0.65;0.63;0.002
45785;0.8440000000000001;0.009;0.008;0.351;0.462;0.6409999999999999;0.637;0.002
45786;0.825;0.009;0.0069999999999999;0.34;0.4589999999999999;0.6459999999999999;0.628;0.002
45787;0.828;0.01;0.0069999999999999;0.327;0.481;0.6409999999999999;0.633;0.002
45788;0.8340000000000001;0.011;0.0069999999999999;0.3379999999999999;0.469;0.633;0.6459999999999999;0.002
45789;0.833;0.011;0.0069999999999999;0.335;0.484;0.6459999999999999;0.6509999999999999;0.002
45790;0.833;0.012;0.008;0.3429999999999999;0.471;0.657;0.667;0.002
45791;0.8390000000000001;0.011;0.008;0.345;0.478;0.654;0.672;0.002
45792;0.826;0.01;0.008;0.3379999999999999;0.457;0.6459999999999999;0.669;0.002
45793;0.8270000000000001;0.01;0.008;0.348;0.456;0.6409999999999999;0.679;0.002
45794;0.825;0.01;0.008;0.347;0.4589999999999999;0.649;0.6709999999999999;0.002
45795;0.831;0.009;0.0069999999999999;0.355;0.447;0.6409999999999999;0.67;0.002
45796;0.836;0.009;0.0069999999999999;0.356;0.4629999999999999;0.629;0.669;0.002
45797;0.847;0.009;0.0069999999999999;0.353;0.467;0.634;0.662;0.002
45798;0.815;0.008;0.0069999999999999;0.34;0.471;0.619;0.637;0.002
45799;0.8059999999999999;0.008;0.008;0.3429999999999999;0.473;0.606;0.643;0.002
45800;0.802;0.009;0.008;0.349;0.48;0.601;0.633;0.002
45801;0.8109999999999999;0.009;0.008;0.349;0.465;0.617;0.626;0.002
45802;0.8109999999999999;0.008;0.0069999999999999;0.348;0.46;0.64;0.616;0.002
45803;0.8029999999999999;0.009;0.008;0.3339999999999999;0.4639999999999999;0.626;0.607;0.002
45804;0.807;0.009;0.0069999999999999;0.336;0.481;0.622;0.616;0.002
45805;0.792;0.008;0.0069999999999999;0.341;0.484;0.622;0.613;0.002
45806;0.8009999999999999;0.008;0.0069999999999999;0.3389999999999999;0.4629999999999999;0.62;0.639;0.002
45807;0.804;0.008;0.0069999999999999;0.347;0.46;0.618;0.628;0.002
45808;0.7909999999999999;0.008;0.0069999999999999;0.34;0.462;0.613;0.625;0.002
45809;0.787;0.009;0.0069999999999999;0.33;0.469;0.619;0.619;0.003
45810;0.792;0.009;0.0069999999999999;0.321;0.461;0.618;0.613;0.003
45811;0.782;0.01;0.0069999999999999;0.321;0.4479999999999999;0.618;0.612;0.003
45812;0.789;0.009;0.0069999999999999;0.33;0.446;0.616;0.616;0.003
