message_dispatcher,metric_insertion,status_metric_extraction
0.409,0.519,0.0
0.41,0.508,0.0
0.412,0.503,0.0
0.418,0.497,0.0
0.4,0.503,0.0
0.402,0.496,0.0
0.41,0.496,0.0
0.424,0.518,0.0
0.421,0.526,0.0
0.416,0.52,0.0
0.419,0.53,0.0
0.425,0.538,0.0
0.427,0.537,0.0
0.431,0.532,0.0
0.421,0.515,0.0
0.416,0.505,0.0
0.42,0.509,0.0
0.421,0.51,0.0
0.412,0.508,0.0
0.411,0.505,0.0
0.417,0.51,0.0
0.43,0.508,0.0
0.418,0.524,0.0
0.419,0.504,0.0
0.414,0.541,0.0
0.414,0.53,0.0
0.416,0.529,0.0
0.425,0.52,0.0
0.427,0.5,0.0
0.419,0.507,0.0
0.407,0.51,0.0
0.409,0.519,0.0
0.412,0.53,0.0
0.414,0.519,0.0
0.42,0.517,0.0
0.416,0.52,0.0
0.41,0.524,1.0
0.419,0.532,0.0
0.418,0.524,0.0
0.43,0.522,0.0
0.456,0.525,0.0
0.464,0.515,0.0
0.473,0.521,0.0
0.455,0.521,0.0
0.446,0.505,0.0
0.46,0.512,0.0
0.448,0.518,0.0
0.431,0.515,0.0
0.425,0.52,0.0
0.427,0.511,0.0
0.416,0.537,0.0
0.414,0.534,0.0
0.415,0.558,0.0
0.427,0.554,0.0
0.432,0.555,0.0
0.438,0.547,1.0
0.446,0.552,1.0
0.445,0.544,1.0
0.453,0.534,0.0
0.437,0.543,0.0
0.43,0.543,0.0
0.432,0.533,0.0
0.435,0.547,0.0
0.427,0.551,0.0
0.438,0.554,0.0
0.438,0.561,0.0
0.445,0.56,0.0
0.441,0.551,0.0
0.446,0.553,0.0
0.449,0.556,0.0
0.462,0.544,0.0
0.442,0.557,0.0
0.447,0.555,0.0
0.445,0.541,1.0
0.44,0.53,1.0
0.431,0.521,0.0
0.423,0.524,0.0
0.421,0.513,0.0
0.421,0.522,0.0
0.414,0.529,0.0
0.414,0.528,0.0
0.403,0.539,0.0
0.406,0.543,0.0
0.407,0.522,0.0
0.412,0.516,0.0
0.411,0.517,0.0
0.426,0.533,0.0
0.429,0.531,0.0
0.433,0.514,0.0
0.444,0.52,0.0
0.433,0.518,0.0
0.437,0.526,0.0
0.427,0.516,0.0
0.439,0.533,0.0
0.435,0.536,0.0
0.445,0.523,0.0
0.432,0.518,0.0
0.43,0.52,0.0
0.415,0.526,1.0
0.412,0.535,0.0
0.414,0.529,0.0
0.414,0.527,0.0
0.417,0.551,1.0
0.41,0.539,1.0
0.407,0.551,1.0
0.405,0.535,0.0
0.403,0.524,0.0
0.405,0.518,0.0
0.409,0.511,0.0
0.419,0.513,0.0
0.429,0.524,0.0
0.411,0.516,0.0
0.416,0.525,0.0
0.409,0.525,0.0
0.42,0.523,0.0
0.42,0.529,0.0
0.421,0.52,0.0
0.439,0.517,0.0
0.434,0.517,0.0
0.446,0.541,0.0
0.441,0.527,0.0
0.437,0.533,1.0
0.43,0.527,1.0
0.43,0.531,0.0
0.425,0.55,0.0
0.412,0.54,0.0
0.415,0.545,0.0
0.428,0.545,0.0
0.416,0.55,0.0
0.417,0.545,0.0
0.427,0.539,0.0
0.412,0.531,0.0
0.42,0.525,0.0
0.406,0.525,0.0
0.407,0.535,0.0
0.398,0.53,0.0
0.399,0.526,0.0
0.401,0.525,0.0
0.399,0.522,0.0
0.404,0.547,0.0
0.416,0.537,0.0
0.42,0.54,0.0
0.416,0.522,0.0
0.396,0.522,0.0
0.403,0.546,0.0
0.397,0.559,0.0
0.4,0.547,0.0
0.411,0.529,0.0
0.409,0.547,0.0
0.414,0.532,0.0
0.417,0.503,0.0
0.406,0.51,0.0
0.402,0.519,0.0
0.413,0.512,0.0
0.405,0.506,0.0
0.427,0.508,0.0
0.437,0.513,0.0
0.436,0.536,0.0
0.443,0.513,0.0
0.437,0.527,0.0
0.435,0.531,0.0
0.434,0.546,0.0
0.431,0.544,0.0
0.437,0.529,0.0
0.447,0.534,0.0
0.434,0.526,0.0
0.413,0.54,0.0
0.411,0.545,0.0
0.412,0.532,0.0
0.412,0.505,0.0
0.426,0.511,0.0
0.411,0.512,0.0
0.425,0.497,0.0
0.426,0.497,0.0
0.443,0.5,0.0
0.437,0.504,0.0
0.436,0.507,0.0
0.449,0.514,0.0
0.437,0.513,0.0
0.441,0.539,0.0
0.454,0.532,0.0
0.451,0.525,0.0
0.429,0.515,0.0
0.433,0.514,0.0
0.425,0.526,0.0
0.424,0.511,0.0
0.423,0.531,0.0
0.419,0.532,0.0
0.407,0.53,0.0
0.407,0.525,0.0
0.409,0.516,0.0
0.392,0.503,0.0
0.391,0.495,0.0
0.402,0.493,0.0
0.399,0.502,0.0
0.408,0.505,0.0
0.401,0.511,0.0
0.404,0.507,0.0
0.397,0.504,0.0
0.402,0.498,0.0
0.405,0.499,0.0
0.413,0.505,0.0
0.428,0.505,0.0
0.418,0.515,0.0
0.422,0.514,0.0
0.426,0.516,0.0
0.414,0.526,0.0
0.421,0.533,0.0
0.441,0.54,0.0
0.436,0.544,0.0
0.424,0.533,0.0
0.425,0.53,0.0
0.425,0.532,0.0
0.414,0.536,0.0
0.416,0.526,0.0
0.41,0.526,0.0
0.402,0.509,0.0
0.405,0.506,0.0
0.404,0.506,0.0
0.407,0.516,0.0
0.409,0.515,0.0
0.414,0.51,0.0
0.417,0.51,0.0
0.417,0.511,0.0
0.415,0.508,0.0
0.423,0.511,0.0
0.421,0.511,0.0
0.419,0.516,0.0
0.416,0.508,0.0
0.415,0.502,0.0
0.405,0.502,0.0
0.4,0.501,0.0
0.425,0.511,0.0
0.419,0.502,0.0
0.427,0.508,0.0
0.421,0.505,0.0
0.422,0.508,0.0
0.427,0.517,0.0
0.412,0.527,0.0
0.411,0.504,0.0
0.399,0.5,0.0
0.403,0.504,0.0
0.397,0.517,0.0
0.389,0.506,0.0
0.386,0.502,0.0
0.405,0.514,0.0
0.413,0.504,0.0
0.409,0.5,0.0
0.411,0.5,0.0
0.413,0.508,0.0
0.415,0.516,0.0
0.418,0.524,0.0
0.419,0.514,0.0
0.434,0.526,0.0
0.428,0.523,0.0
0.434,0.533,0.0
0.424,0.535,0.0
0.422,0.531,0.0
0.42,0.534,0.0
0.411,0.53,0.0
0.414,0.528,0.0
0.412,0.521,0.0
0.415,0.521,0.0
0.418,0.505,0.0
0.42,0.511,0.0
0.43,0.515,0.0
0.418,0.508,0.0
0.423,0.514,0.0
0.428,0.509,0.0
0.425,0.513,0.0
0.413,0.515,0.0
0.418,0.516,0.0
0.437,0.513,0.0
0.436,0.517,0.0
0.427,0.523,0.0
0.425,0.528,0.0
0.416,0.519,0.0
0.427,0.534,0.0
0.43,0.56,0.0
0.414,0.533,0.0
0.415,0.534,0.0
0.413,0.553,0.0
0.423,0.539,0.0
0.434,0.542,0.0
0.422,0.545,0.0
0.42,0.562,0.0
0.432,0.559,0.0
0.429,0.56,0.0
0.434,0.545,0.0
0.426,0.528,0.0
0.427,0.521,0.0
0.45,0.519,0.0
0.442,0.515,0.0
0.435,0.517,0.0
0.437,0.516,0.0
0.43,0.517,0.0
0.428,0.514,0.0
0.423,0.522,0.0
0.434,0.522,0.0
0.42,0.522,0.0
0.41,0.54,0.0
0.417,0.532,0.0
0.417,0.522,0.0
0.415,0.517,0.0
0.415,0.524,0.0
0.412,0.506,0.0
0.403,0.505,0.0
0.435,0.507,0.0
