message_dispatcher,metric_insertion,status_metric_extraction
0.992,0.951,1.0
1.008,0.951,1.0
1.008,0.941,1.0
1.009,0.941,1.0
0.999,0.95,1.0
0.988,0.946,1.0
1.004,0.953,2.0
0.997,0.989,1.0
0.979,0.985,1.0
0.975,0.992,1.0
0.984,0.983,1.0
1.003,0.977,1.0
1.02,0.963,1.0
1.02,0.944,1.0
1.016,0.934,1.0
1.015,0.917,1.0
1.022,0.909,1.0
1.026,0.914,1.0
1.034,0.911,1.0
1.026,0.897,1.0
1.038,0.92,1.0
1.027,0.919,1.0
0.99,0.938,1.0
0.989,0.966,1.0
1.007,0.984,1.0
1.012,0.983,1.0
0.995,0.998,1.0
0.978,1.003,1.0
0.967,1.003,1.0
0.969,1.0,1.0
0.962,0.986,1.0
0.97,0.987,1.0
0.981,0.977,1.0
0.987,0.956,1.0
0.996,0.948,1.0
0.99,0.95,2.0
1.002,0.942,2.0
1.015,0.934,1.0
1.014,0.914,1.0
1.004,0.923,1.0
0.993,0.919,1.0
0.993,0.928,1.0
0.987,0.961,1.0
0.978,0.973,1.0
0.974,1.001,1.0
0.969,1.004,1.0
0.992,1.013,1.0
0.979,1.023,1.0
0.978,1.029,1.0
0.996,1.044,1.0
0.991,1.051,1.0
0.994,1.06,1.0
1.002,1.055,1.0
0.992,1.031,1.0
0.99,1.021,1.0
0.995,0.998,2.0
0.967,0.991,2.0
0.967,0.998,1.0
0.978,1.024,1.0
0.978,1.008,1.0
0.995,1.017,1.0
0.983,1.014,1.0
0.968,0.995,1.0
0.97,0.994,1.0
0.972,0.989,1.0
0.973,0.99,1.0
0.982,0.998,1.0
0.973,0.99,1.0
0.972,0.977,1.0
0.954,0.977,1.0
0.947,0.947,1.0
0.955,0.951,1.0
0.973,0.952,1.0
0.987,0.964,1.0
0.994,0.969,1.0
0.992,0.967,1.0
1.007,0.966,1.0
0.996,0.968,1.0
1.002,0.957,1.0
0.988,0.951,1.0
0.987,0.963,1.0
0.978,0.972,1.0
0.988,0.962,0.0
0.974,0.94,1.0
0.976,0.937,1.0
0.974,0.927,1.0
0.96,0.957,1.0
0.961,0.94,1.0
0.958,0.934,2.0
0.958,0.919,2.0
0.958,0.921,2.0
0.961,0.926,2.0
0.969,0.939,2.0
0.971,0.958,2.0
0.97,0.946,2.0
0.987,0.973,2.0
0.99,0.956,2.0
1.018,0.973,2.0
1.035,0.985,2.0
1.039,0.996,2.0
1.032,1.009,2.0
1.02,1.007,2.0
1.031,1.004,2.0
1.032,1.002,2.0
1.06,0.978,2.0
1.059,0.977,2.0
1.047,0.968,2.0
1.032,0.936,1.0
1.019,0.939,1.0
1.047,0.96,1.0
1.037,0.96,1.0
1.053,0.955,1.0
1.055,0.963,2.0
1.061,0.964,1.0
1.058,0.988,1.0
1.035,1.002,1.0
1.033,1.017,1.0
1.025,1.041,1.0
1.027,1.071,1.0
1.004,1.051,1.0
0.996,1.054,1.0
0.985,1.035,1.0
0.962,1.053,0.0
0.971,1.02,0.0
0.962,1.024,1.0
0.948,1.015,1.0
0.966,1.012,1.0
0.978,0.988,1.0
0.968,0.953,1.0
0.975,0.952,1.0
0.983,0.976,1.0
1.0,0.971,1.0
1.017,0.958,1.0
1.013,0.975,1.0
1.031,0.973,1.0
1.048,0.973,0.0
1.046,0.973,0.0
1.05,0.977,0.0
1.054,0.991,0.0
1.046,1.03,0.0
1.059,0.997,0.0
1.046,1.0,0.0
1.05,1.0,0.0
1.048,1.02,0.0
1.032,1.011,1.0
1.032,1.028,1.0
1.022,1.034,1.0
1.031,1.014,1.0
1.046,1.001,1.0
1.047,0.976,1.0
1.017,1.008,1.0
1.011,1.014,0.0
1.008,1.023,0.0
1.016,1.011,0.0
1.023,1.0,0.0
1.016,0.973,0.0
1.018,0.955,0.0
1.005,0.959,0.0
0.99,0.969,0.0
0.98,0.964,0.0
