group_history_insertion,collector_monitoring_information_bolt,status_metric_extraction
0.307,0.445,0.34
0.306,0.443,0.35
0.319,0.423,0.33
0.305,0.426,0.316
0.311,0.428,0.316
0.312,0.433,0.313
0.319,0.441,0.322
0.319,0.441,0.317
0.311,0.439,0.309
0.307,0.428,0.305
0.31,0.429,0.313
0.309,0.431,0.299
0.305,0.453,0.303
0.285,0.478,0.303
0.281,0.471,0.296
0.284,0.459,0.288
0.288,0.446,0.291
0.276,0.449,0.285
0.282,0.45,0.285
0.283,0.44,0.296
0.278,0.432,0.275
0.259,0.416,0.284
0.27,0.398,0.285
0.275,0.365,0.294
0.266,0.364,0.29
0.272,0.363,0.286
0.274,0.373,0.284
0.268,0.38,0.287
0.273,0.384,0.288
0.27,0.389,0.295
0.271,0.399,0.292
0.272,0.399,0.288
0.279,0.399,0.283
0.264,0.404,0.272
0.271,0.409,0.277
0.27,0.411,0.273
0.271,0.403,0.269
0.266,0.394,0.256
0.269,0.394,0.259
0.257,0.395,0.255
0.274,0.381,0.257
0.274,0.385,0.259
0.268,0.392,0.264
0.263,0.401,0.262
0.264,0.397,0.264
0.254,0.401,0.271
0.266,0.413,0.264
0.264,0.408,0.263
0.267,0.402,0.258
0.262,0.399,0.269
0.268,0.421,0.268
0.269,0.43,0.277
0.272,0.438,0.266
0.27,0.429,0.263
0.267,0.415,0.258
0.263,0.41,0.264
0.26,0.413,0.271
0.264,0.408,0.285
0.269,0.416,0.278
0.263,0.412,0.274
0.267,0.41,0.271
0.265,0.398,0.275
0.265,0.394,0.28
0.267,0.392,0.279
0.268,0.394,0.278
0.264,0.391,0.275
0.266,0.409,0.263
0.267,0.412,0.271
0.263,0.411,0.269
0.26,0.423,0.268
0.255,0.414,0.266
0.251,0.434,0.26
0.255,0.426,0.268
0.255,0.43,0.265
0.245,0.432,0.266
0.244,0.439,0.266
0.251,0.452,0.266
0.258,0.428,0.27
0.261,0.437,0.277
0.28,0.437,0.274
0.267,0.44,0.268
0.267,0.434,0.269
0.267,0.42,0.261
0.263,0.421,0.268
0.262,0.426,0.261
0.26,0.429,0.256
0.256,0.413,0.265
0.276,0.402,0.261
0.278,0.401,0.259
0.282,0.397,0.256
0.278,0.411,0.261
0.272,0.417,0.27
0.284,0.425,0.275
0.28,0.424,0.271
0.284,0.414,0.283
0.28,0.41,0.285
0.27,0.414,0.282
0.274,0.41,0.286
0.265,0.393,0.296
0.267,0.401,0.274
0.269,0.413,0.271
0.263,0.405,0.27
0.263,0.394,0.268
0.272,0.395,0.267
0.275,0.394,0.263
0.272,0.391,0.262
0.28,0.396,0.269
0.262,0.396,0.256
0.256,0.398,0.253
0.25,0.395,0.261
0.252,0.389,0.257
0.256,0.389,0.256
0.258,0.378,0.261
0.259,0.391,0.271
0.264,0.394,0.271
0.262,0.404,0.273
0.259,0.411,0.265
0.257,0.428,0.272
0.258,0.411,0.277
0.254,0.408,0.259
0.258,0.401,0.261
0.263,0.404,0.267
