group_history_insertion,collector_monitoring_information_bolt,status_metric_extraction
0.284,0.455,0.324
0.287,0.452,0.323
0.288,0.472,0.317
0.286,0.475,0.314
0.289,0.476,0.309
0.288,0.473,0.307
0.294,0.475,0.303
0.29,0.463,0.297
0.303,0.467,0.311
0.298,0.467,0.314
0.304,0.466,0.305
0.316,0.473,0.318
0.311,0.471,0.31
0.317,0.474,0.312
0.306,0.47,0.303
0.298,0.465,0.314
0.303,0.462,0.308
0.304,0.469,0.302
0.307,0.479,0.314
0.297,0.485,0.314
0.292,0.498,0.308
0.292,0.479,0.308
0.294,0.472,0.308
0.304,0.474,0.305
0.296,0.468,0.308
0.294,0.483,0.3
0.287,0.49,0.317
0.287,0.495,0.326
0.284,0.503,0.322
0.294,0.509,0.317
0.286,0.497,0.308
0.287,0.501,0.306
0.296,0.512,0.308
0.292,0.511,0.315
0.311,0.519,0.307
0.306,0.503,0.301
0.305,0.502,0.299
0.297,0.486,0.294
0.294,0.485,0.313
0.291,0.47,0.313
0.291,0.468,0.308
0.288,0.458,0.32
0.284,0.471,0.311
0.291,0.494,0.308
0.296,0.484,0.299
0.296,0.487,0.3
0.297,0.501,0.3
0.303,0.496,0.306
0.288,0.509,0.306
0.293,0.493,0.304
0.297,0.494,0.311
0.303,0.5,0.312
0.291,0.489,0.309
0.281,0.481,0.305
0.285,0.47,0.318
0.282,0.496,0.313
0.296,0.488,0.311
0.298,0.489,0.306
0.305,0.486,0.305
0.308,0.483,0.306
0.3,0.514,0.305
0.301,0.519,0.298
0.309,0.521,0.308
0.307,0.507,0.309
0.303,0.5,0.3
0.299,0.51,0.29
0.315,0.5,0.291
0.303,0.522,0.297
0.299,0.514,0.291
0.298,0.497,0.285
0.301,0.485,0.29
0.29,0.484,0.289
0.293,0.481,0.296
0.291,0.485,0.306
0.302,0.475,0.293
0.299,0.474,0.3
0.289,0.45,0.305
0.297,0.445,0.31
0.304,0.435,0.327
0.307,0.441,0.317
0.309,0.453,0.314
0.309,0.455,0.342
0.305,0.452,0.329
0.304,0.447,0.32
0.306,0.463,0.303
0.322,0.476,0.299
0.314,0.472,0.303
0.305,0.476,0.313
0.316,0.471,0.307
0.303,0.474,0.3
0.305,0.477,0.304
0.298,0.454,0.302
0.301,0.462,0.307
0.291,0.452,0.298
0.288,0.46,0.307
0.292,0.458,0.306
0.301,0.48,0.296
0.3,0.478,0.305
0.293,0.486,0.301
0.296,0.476,0.291
0.287,0.471,0.291
0.303,0.467,0.295
0.314,0.476,0.303
0.303,0.468,0.308
0.319,0.462,0.311
0.323,0.475,0.301
0.32,0.466,0.307
0.318,0.469,0.307
0.294,0.48,0.297
0.295,0.476,0.295
