group_history_insertion,collector_monitoring_information_bolt,status_metric_extraction
0.309,0.414,0.293
0.312,0.414,0.29
0.31,0.42,0.29
0.309,0.426,0.281
0.314,0.427,0.305
0.317,0.429,0.302
0.314,0.424,0.302
0.323,0.42,0.302
0.335,0.419,0.291
0.332,0.41,0.29
0.343,0.41,0.297
0.329,0.425,0.308
0.327,0.421,0.3
0.321,0.416,0.295
0.309,0.409,0.298
0.305,0.407,0.299
0.308,0.421,0.294
0.306,0.42,0.294
0.304,0.423,0.294
0.313,0.426,0.288
0.307,0.419,0.305
0.3,0.443,0.308
0.304,0.431,0.294
0.295,0.424,0.289
0.298,0.43,0.284
0.307,0.435,0.296
0.309,0.437,0.286
0.306,0.429,0.282
0.307,0.43,0.289
0.3,0.424,0.302
0.3,0.429,0.308
0.307,0.404,0.303
0.315,0.41,0.295
0.313,0.423,0.294
0.302,0.438,0.302
0.313,0.444,0.309
0.321,0.451,0.312
0.33,0.447,0.311
0.324,0.446,0.304
0.319,0.459,0.315
0.318,0.47,0.31
0.312,0.466,0.308
0.307,0.459,0.308
0.301,0.464,0.313
0.31,0.457,0.313
0.303,0.451,0.301
0.313,0.44,0.316
0.308,0.443,0.302
0.311,0.445,0.309
0.324,0.462,0.311
0.317,0.467,0.299
0.319,0.462,0.297
0.319,0.469,0.305
0.32,0.452,0.3
0.302,0.435,0.295
0.306,0.427,0.296
0.294,0.433,0.293
0.303,0.431,0.298
0.306,0.442,0.298
0.299,0.431,0.298
0.293,0.424,0.295
0.295,0.412,0.297
0.289,0.412,0.294
0.318,0.413,0.294
0.31,0.418,0.298
0.305,0.417,0.292
0.311,0.43,0.281
0.306,0.441,0.284
0.299,0.451,0.272
0.302,0.451,0.271
0.313,0.446,0.279
0.309,0.45,0.28
0.308,0.454,0.279
0.309,0.463,0.288
0.303,0.475,0.284
0.295,0.479,0.284
0.299,0.47,0.285
0.302,0.457,0.279
0.304,0.431,0.279
0.318,0.415,0.28
0.312,0.421,0.272
0.311,0.426,0.283
0.306,0.421,0.306
0.298,0.407,0.311
0.296,0.402,0.306
0.31,0.391,0.305
0.3,0.388,0.299
0.298,0.39,0.296
0.296,0.394,0.291
0.301,0.399,0.291
0.3,0.407,0.289
0.3,0.404,0.29
0.3,0.401,0.292
0.295,0.406,0.294
0.309,0.41,0.285
0.309,0.42,0.287
0.32,0.425,0.292
0.342,0.427,0.298
0.321,0.429,0.285
0.322,0.416,0.293
0.318,0.419,0.291
0.311,0.421,0.294
0.317,0.436,0.291
0.317,0.434,0.296
0.314,0.425,0.293
0.312,0.431,0.295
0.306,0.419,0.288
0.304,0.416,0.291
0.293,0.415,0.289
0.301,0.426,0.288
0.322,0.437,0.294
0.324,0.429,0.301
0.306,0.435,0.296
0.307,0.425,0.29
0.311,0.441,0.289
0.316,0.441,0.288
0.321,0.44,0.296
0.315,0.447,0.292
0.321,0.445,0.299
0.323,0.443,0.292
0.324,0.448,0.293
0.31,0.446,0.304
0.315,0.444,0.297
0.315,0.442,0.309
0.312,0.433,0.291
0.321,0.438,0.291
0.316,0.434,0.293
0.313,0.438,0.297
0.308,0.431,0.292
0.309,0.446,0.31
0.306,0.444,0.287
0.302,0.432,0.298
0.303,0.453,0.295
0.3,0.442,0.294
0.302,0.444,0.298
0.299,0.445,0.293
0.3,0.43,0.29
0.297,0.446,0.287
0.299,0.44,0.292
0.309,0.443,0.289
0.315,0.426,0.294
0.308,0.427,0.295
0.292,0.418,0.292
0.314,0.416,0.293
0.31,0.42,0.301
0.318,0.427,0.296
0.31,0.433,0.294
0.319,0.432,0.296
0.328,0.419,0.304
0.322,0.424,0.312
0.31,0.426,0.331
0.302,0.427,0.326
0.313,0.436,0.318
0.312,0.433,0.303
0.325,0.46,0.301
0.312,0.465,0.295
0.325,0.444,0.303
0.323,0.439,0.312
0.316,0.438,0.324
0.31,0.454,0.321
0.31,0.454,0.311
0.311,0.449,0.295
0.324,0.459,0.298
0.318,0.458,0.31
0.312,0.441,0.307
0.314,0.439,0.309
0.304,0.439,0.309
0.305,0.452,0.303
0.311,0.456,0.307
0.313,0.455,0.315
0.316,0.457,0.315
0.308,0.455,0.324
0.308,0.446,0.328
0.308,0.444,0.33
0.301,0.443,0.333
0.303,0.435,0.311
0.312,0.434,0.311
0.309,0.431,0.302
0.308,0.446,0.304
0.309,0.449,0.3
0.32,0.435,0.302
0.313,0.449,0.296
0.307,0.448,0.307
0.301,0.445,0.315
0.303,0.453,0.314
0.309,0.458,0.323
0.314,0.465,0.325
0.317,0.456,0.319
0.305,0.444,0.316
0.312,0.429,0.313
0.318,0.415,0.312
0.35,0.41,0.303
0.343,0.406,0.302
0.343,0.407,0.308
0.338,0.418,0.309
0.341,0.406,0.291
0.333,0.408,0.299
0.327,0.412,0.312
0.315,0.413,0.318
