message_dispatcher,metric_insertion,status_metric_extraction
0.992,0.951,0.319
1.008,0.951,0.316
1.008,0.941,0.317
1.009,0.941,0.318
0.999,0.95,0.321
0.988,0.946,0.331
1.004,0.953,0.338
0.997,0.989,0.329
0.979,0.985,0.331
0.975,0.992,0.321
0.984,0.983,0.322
1.003,0.977,0.325
1.02,0.963,0.323
1.02,0.944,0.319
1.016,0.934,0.315
1.015,0.917,0.317
1.022,0.909,0.307
1.026,0.914,0.307
1.034,0.911,0.307
1.026,0.897,0.304
1.038,0.92,0.304
1.027,0.919,0.314
0.99,0.938,0.313
0.989,0.966,0.316
1.007,0.984,0.316
1.012,0.983,0.321
0.995,0.998,0.317
0.978,1.003,0.311
0.967,1.003,0.314
0.969,1.0,0.309
0.962,0.986,0.318
0.97,0.987,0.32
0.981,0.977,0.323
0.987,0.956,0.333
0.996,0.948,0.332
0.99,0.95,0.336
1.002,0.942,0.339
1.015,0.934,0.318
1.014,0.914,0.317
1.004,0.923,0.311
0.993,0.919,0.319
0.993,0.928,0.324
0.987,0.961,0.324
0.978,0.973,0.318
0.974,1.001,0.315
0.969,1.004,0.321
0.992,1.013,0.329
0.979,1.023,0.325
0.978,1.029,0.317
0.996,1.044,0.326
0.991,1.051,0.328
0.994,1.06,0.311
1.002,1.055,0.317
0.992,1.031,0.32
0.99,1.021,0.332
0.995,0.998,0.336
0.967,0.991,0.335
0.967,0.998,0.326
0.978,1.024,0.325
0.978,1.008,0.321
0.995,1.017,0.322
0.983,1.014,0.316
0.968,0.995,0.308
0.97,0.994,0.309
0.972,0.989,0.32
0.973,0.99,0.311
0.982,0.998,0.32
0.973,0.99,0.311
0.972,0.977,0.318
0.954,0.977,0.312
0.947,0.947,0.314
0.955,0.951,0.315
0.973,0.952,0.309
0.987,0.964,0.323
0.994,0.969,0.323
0.992,0.967,0.318
1.007,0.966,0.317
0.996,0.968,0.309
1.002,0.957,0.312
0.988,0.951,0.321
0.987,0.963,0.32
0.978,0.972,0.312
0.988,0.962,0.3
0.974,0.94,0.31
0.976,0.937,0.317
0.974,0.927,0.33
0.96,0.957,0.328
0.961,0.94,0.334
0.958,0.934,0.343
0.958,0.919,0.346
0.958,0.921,0.344
0.961,0.926,0.365
0.969,0.939,0.36
0.971,0.958,0.362
0.97,0.946,0.362
0.987,0.973,0.358
0.99,0.956,0.355
1.018,0.973,0.362
1.035,0.985,0.366
1.039,0.996,0.377
