group_history_insertion,collector_monitoring_information_bolt,status_metric_extraction
0.323,0.471,0.31
0.325,0.474,0.311
0.322,0.474,0.317
0.313,0.469,0.314
0.321,0.463,0.316
0.314,0.445,0.309
0.326,0.455,0.319
0.319,0.457,0.329
0.32,0.458,0.319
0.321,0.461,0.319
0.326,0.47,0.326
0.331,0.481,0.326
0.334,0.466,0.325
0.336,0.474,0.315
0.327,0.466,0.317
0.323,0.47,0.313
0.327,0.458,0.314
0.332,0.446,0.313
0.328,0.448,0.315
0.323,0.432,0.315
0.315,0.421,0.311
0.318,0.414,0.308
0.313,0.414,0.318
0.313,0.42,0.322
0.309,0.414,0.316
0.308,0.424,0.316
0.306,0.418,0.305
0.317,0.431,0.302
0.325,0.437,0.307
0.316,0.428,0.306
0.311,0.432,0.315
0.315,0.437,0.313
0.307,0.435,0.319
0.323,0.445,0.319
0.325,0.437,0.333
0.319,0.432,0.328
0.313,0.416,0.326
0.314,0.415,0.328
0.312,0.403,0.332
0.307,0.407,0.336
0.321,0.395,0.335
0.314,0.396,0.347
0.323,0.407,0.345
0.313,0.404,0.323
0.31,0.4,0.316
0.312,0.409,0.313
0.324,0.416,0.297
0.329,0.421,0.304
0.327,0.433,0.31
0.321,0.432,0.311
0.332,0.465,0.314
0.325,0.469,0.314
0.335,0.454,0.311
0.332,0.453,0.314
0.322,0.455,0.311
0.321,0.445,0.313
0.321,0.443,0.309
0.307,0.452,0.308
0.31,0.443,0.309
0.304,0.45,0.314
0.319,0.456,0.325
0.325,0.448,0.322
0.324,0.457,0.312
0.319,0.455,0.309
0.322,0.441,0.315
0.323,0.434,0.311
0.327,0.432,0.312
0.334,0.431,0.311
0.326,0.435,0.315
0.324,0.442,0.328
0.321,0.443,0.33
0.328,0.446,0.324
0.332,0.423,0.322
0.333,0.424,0.318
0.315,0.431,0.292
0.318,0.43,0.304
0.316,0.436,0.309
0.325,0.437,0.305
0.313,0.445,0.303
0.313,0.443,0.31
0.318,0.445,0.316
0.311,0.438,0.322
0.313,0.454,0.316
0.312,0.438,0.307
0.317,0.434,0.314
0.319,0.422,0.317
0.322,0.426,0.312
0.323,0.434,0.32
0.311,0.435,0.32
0.313,0.436,0.323
0.314,0.442,0.319
0.318,0.447,0.308
0.324,0.447,0.314
0.323,0.455,0.307
0.332,0.455,0.302
0.324,0.448,0.301
0.328,0.446,0.309
0.328,0.429,0.307
0.331,0.425,0.318
0.335,0.427,0.314
0.334,0.433,0.323
0.34,0.428,0.315
0.339,0.445,0.312
0.337,0.439,0.311
0.335,0.452,0.311
0.336,0.452,0.313
0.331,0.454,0.316
0.331,0.445,0.311
0.335,0.438,0.308
0.327,0.441,0.313
0.321,0.444,0.319
0.309,0.447,0.313
0.319,0.443,0.313
0.33,0.456,0.299
0.332,0.469,0.308
0.336,0.468,0.299
0.339,0.461,0.3
0.323,0.464,0.295
0.324,0.46,0.295
0.324,0.46,0.288
0.326,0.46,0.294
0.33,0.457,0.308
0.325,0.462,0.316
0.316,0.472,0.325
0.318,0.457,0.318
0.32,0.456,0.307
0.322,0.455,0.314
0.31,0.453,0.314
0.321,0.458,0.308
0.313,0.459,0.313
0.317,0.455,0.31
0.312,0.466,0.303
0.312,0.462,0.307
0.313,0.459,0.309
0.311,0.469,0.305
0.321,0.473,0.306
0.316,0.479,0.32
0.309,0.493,0.317
0.31,0.49,0.312
0.32,0.48,0.312
0.323,0.478,0.309
0.33,0.471,0.323
0.329,0.463,0.326
0.326,0.466,0.314
0.328,0.455,0.315
0.325,0.448,0.313
0.318,0.454,0.297
0.319,0.45,0.295
0.328,0.448,0.297
0.327,0.447,0.3
0.328,0.43,0.315
0.327,0.423,0.318
0.323,0.419,0.317
0.324,0.422,0.31
0.332,0.426,0.306
0.33,0.431,0.315
0.326,0.423,0.319
0.353,0.431,0.306
0.345,0.443,0.335
0.353,0.444,0.328
0.343,0.429,0.318
0.333,0.435,0.317
0.34,0.452,0.311
0.343,0.45,0.308
0.333,0.438,0.307
0.331,0.431,0.309
0.337,0.433,0.304
0.322,0.424,0.298
0.312,0.42,0.301
0.306,0.413,0.303
0.316,0.417,0.3
0.321,0.414,0.303
0.321,0.411,0.303
0.312,0.402,0.301
0.318,0.403,0.31
0.326,0.415,0.311
0.329,0.415,0.312
0.324,0.426,0.314
0.322,0.435,0.322
0.321,0.433,0.323
0.327,0.443,0.336
0.319,0.439,0.343
0.317,0.452,0.345
0.313,0.461,0.349
0.313,0.464,0.339
0.319,0.465,0.341
0.331,0.468,0.324
0.33,0.46,0.334
0.332,0.458,0.325
0.331,0.449,0.334
0.334,0.452,0.322
0.33,0.444,0.318
0.327,0.435,0.321
0.324,0.45,0.32
0.319,0.455,0.308
0.319,0.449,0.309
0.32,0.439,0.306
0.313,0.435,0.315
0.311,0.435,0.306
0.309,0.445,0.31
0.31,0.433,0.305
0.316,0.431,0.319
0.323,0.446,0.323
0.329,0.444,0.326
0.325,0.441,0.327
0.331,0.458,0.343
0.338,0.454,0.344
0.33,0.441,0.34
0.33,0.452,0.335
0.351,0.462,0.351
0.358,0.454,0.348
0.368,0.464,0.353
0.373,0.473,0.368
0.374,0.465,0.355
0.354,0.481,0.349
0.347,0.477,0.36
0.351,0.478,0.373
0.349,0.471,0.352
0.368,0.484,0.344
0.359,0.482,0.36
0.365,0.484,0.342
0.365,0.462,0.34
0.372,0.46,0.338
0.356,0.455,0.344
0.349,0.448,0.328
0.337,0.459,0.322
0.328,0.464,0.321
0.321,0.454,0.311
0.312,0.438,0.307
0.319,0.436,0.309
0.338,0.433,0.307
0.329,0.426,0.307
0.322,0.425,0.303
0.336,0.429,0.3
0.332,0.425,0.301
0.32,0.417,0.307
0.319,0.41,0.29
0.31,0.41,0.287
0.308,0.409,0.29
0.308,0.411,0.29
0.306,0.405,0.287
0.308,0.406,0.294
0.31,0.396,0.29
0.308,0.398,0.291
0.302,0.409,0.292
0.292,0.407,0.293
0.295,0.419,0.293
0.296,0.432,0.293
0.309,0.453,0.297
0.308,0.469,0.303
0.31,0.476,0.299
0.309,0.478,0.307
0.307,0.464,0.313
0.309,0.461,0.302
0.313,0.456,0.301
0.325,0.463,0.304
0.323,0.451,0.309
0.321,0.445,0.304
0.321,0.443,0.303
0.314,0.435,0.305
0.32,0.42,0.314
0.31,0.419,0.308
0.301,0.429,0.305
0.305,0.433,0.301
0.312,0.447,0.296
0.308,0.433,0.289
0.313,0.44,0.296
0.315,0.423,0.3
0.323,0.426,0.299
0.321,0.417,0.306
0.339,0.413,0.297
0.352,0.418,0.302
0.335,0.421,0.31
0.33,0.416,0.312
0.325,0.401,0.321
0.318,0.422,0.325
0.307,0.41,0.315
0.309,0.415,0.3
0.31,0.411,0.297
0.326,0.42,0.3
0.317,0.438,0.299
0.315,0.435,0.29
0.328,0.435,0.292
0.33,0.45,0.296
0.328,0.451,0.293
0.331,0.439,0.295
0.331,0.432,0.288
0.321,0.427,0.283
0.312,0.429,0.294
0.303,0.431,0.303
0.308,0.419,0.297
0.308,0.427,0.298
0.31,0.44,0.291
0.326,0.438,0.29
0.325,0.443,0.289
0.316,0.443,0.299
0.313,0.463,0.297
0.3,0.471,0.308
0.304,0.47,0.305
0.305,0.471,0.297
0.303,0.472,0.295
0.295,0.471,0.292
0.291,0.446,0.295
0.313,0.433,0.293
0.31,0.42,0.292
0.307,0.414,0.291
0.318,0.402,0.291
0.308,0.401,0.287
0.3,0.401,0.283
0.306,0.398,0.301
0.305,0.395,0.3
0.305,0.389,0.302
0.305,0.393,0.302
0.309,0.392,0.299
0.307,0.412,0.297
0.308,0.416,0.292
0.299,0.409,0.285
0.298,0.413,0.288
0.303,0.412,0.287
0.307,0.401,0.289
0.326,0.39,0.292
0.322,0.412,0.289
0.323,0.411,0.305
0.331,0.407,0.3
0.316,0.406,0.299
0.329,0.412,0.299
0.321,0.416,0.294
0.307,0.416,0.292
0.301,0.415,0.298
0.291,0.42,0.295
0.283,0.425,0.294
0.298,0.428,0.291
0.296,0.446,0.289
0.291,0.453,0.291
0.294,0.438,0.291
0.297,0.437,0.293
0.296,0.442,0.294
0.297,0.44,0.299
0.297,0.446,0.294
0.297,0.436,0.295
0.298,0.433,0.299
0.296,0.42,0.308
0.287,0.412,0.307
0.293,0.416,0.293
0.301,0.426,0.295
0.313,0.417,0.305
0.327,0.419,0.294
0.334,0.413,0.293
0.339,0.415,0.293
0.344,0.418,0.305
0.335,0.418,0.298
0.33,0.42,0.284
0.316,0.427,0.286
0.307,0.42,0.29
0.318,0.404,0.294
0.315,0.407,0.293
0.324,0.41,0.294
0.315,0.412,0.294
0.3,0.418,0.289
0.3,0.419,0.29
0.297,0.418,0.291
0.294,0.409,0.287
0.294,0.398,0.284
0.301,0.414,0.293
0.301,0.42,0.297
0.301,0.424,0.287
0.296,0.422,0.289
0.302,0.422,0.298
0.308,0.414,0.298
0.308,0.406,0.294
0.301,0.412,0.297
0.31,0.417,0.303
0.309,0.426,0.3
0.303,0.414,0.291
0.322,0.416,0.298
0.321,0.412,0.287
0.313,0.422,0.299
0.313,0.433,0.304
0.296,0.424,0.292
0.301,0.439,0.29
0.305,0.435,0.294
0.293,0.436,0.298
0.296,0.428,0.29
0.3,0.436,0.283
0.293,0.424,0.29
0.297,0.436,0.29
0.308,0.44,0.29
0.32,0.428,0.295
0.32,0.412,0.295
0.33,0.423,0.298
0.323,0.424,0.301
0.32,0.414,0.308
0.309,0.42,0.295
0.302,0.422,0.296
