group_history_insertion,collector_monitoring_information_bolt,status_metric_extraction
0.335,0.463,0.319
0.328,0.454,0.316
0.334,0.462,0.317
0.334,0.457,0.318
0.323,0.444,0.321
0.331,0.438,0.331
0.335,0.43,0.338
0.321,0.432,0.329
0.329,0.441,0.331
0.328,0.441,0.321
0.324,0.438,0.322
0.317,0.444,0.325
0.325,0.453,0.323
0.315,0.447,0.319
0.32,0.452,0.315
0.315,0.455,0.317
0.321,0.455,0.307
0.33,0.466,0.307
0.321,0.455,0.307
0.326,0.465,0.304
0.342,0.465,0.304
0.345,0.463,0.314
0.341,0.457,0.313
0.353,0.47,0.316
0.364,0.488,0.316
0.36,0.483,0.321
0.366,0.484,0.317
0.363,0.478,0.311
0.343,0.476,0.314
0.349,0.474,0.309
0.331,0.478,0.318
0.341,0.475,0.32
0.343,0.477,0.323
0.346,0.46,0.333
0.326,0.474,0.332
0.318,0.462,0.336
0.323,0.46,0.339
0.327,0.463,0.318
0.318,0.459,0.317
0.319,0.461,0.311
0.32,0.453,0.319
0.33,0.457,0.324
0.329,0.456,0.324
0.33,0.453,0.318
0.326,0.452,0.315
0.355,0.441,0.321
0.344,0.444,0.329
0.335,0.449,0.325
0.335,0.446,0.317
0.326,0.449,0.326
0.32,0.453,0.328
0.315,0.45,0.311
0.315,0.463,0.317
0.316,0.453,0.32
0.328,0.448,0.332
0.318,0.447,0.336
0.332,0.444,0.335
0.335,0.447,0.326
0.325,0.438,0.325
0.321,0.441,0.321
0.327,0.44,0.322
0.321,0.438,0.316
0.321,0.431,0.308
0.316,0.42,0.309
0.31,0.42,0.32
0.308,0.431,0.311
0.307,0.424,0.32
0.331,0.42,0.311
0.331,0.434,0.318
0.332,0.437,0.312
0.339,0.457,0.314
0.335,0.455,0.315
0.342,0.465,0.309
0.343,0.459,0.323
0.337,0.451,0.323
0.332,0.449,0.318
0.326,0.442,0.317
0.332,0.441,0.309
0.335,0.452,0.312
0.326,0.449,0.321
0.328,0.442,0.32
0.333,0.448,0.312
0.332,0.437,0.3
0.326,0.426,0.31
0.327,0.456,0.317
0.326,0.453,0.33
0.337,0.456,0.328
0.346,0.472,0.334
0.359,0.47,0.343
0.367,0.474,0.346
0.369,0.48,0.344
0.376,0.481,0.365
0.373,0.479,0.36
0.373,0.484,0.362
0.348,0.49,0.362
0.345,0.477,0.358
0.361,0.488,0.355
0.372,0.482,0.362
0.363,0.488,0.366
0.37,0.504,0.377
0.347,0.567,0.371
0.349,0.568,0.394
0.345,0.565,0.384
0.351,0.564,0.362
0.353,0.545,0.366
0.352,0.543,0.337
0.351,0.553,0.343
0.343,0.54,0.334
0.34,0.577,0.33
0.339,0.563,0.324
0.343,0.499,0.321
0.326,0.496,0.325
0.34,0.495,0.343
0.345,0.483,0.323
0.329,0.481,0.325
0.332,0.486,0.322
0.325,0.464,0.321
0.339,0.457,0.317
0.34,0.428,0.311
0.334,0.416,0.308
0.327,0.422,0.307
0.323,0.41,0.322
0.315,0.398,0.294
0.309,0.417,0.293
0.313,0.425,0.312
0.305,0.43,0.315
0.303,0.436,0.318
0.307,0.456,0.317
0.301,0.459,0.317
0.303,0.45,0.316
0.3,0.434,0.312
0.302,0.454,0.318
0.308,0.478,0.322
0.326,0.468,0.317
0.321,0.448,0.313
0.318,0.462,0.297
0.323,0.445,0.291
0.321,0.437,0.295
0.322,0.437,0.287
0.312,0.448,0.28
0.307,0.446,0.282
0.3,0.429,0.284
0.307,0.413,0.295
0.312,0.42,0.3
0.318,0.427,0.32
0.306,0.426,0.33
0.304,0.417,0.313
0.313,0.417,0.316
0.308,0.415,0.318
0.304,0.41,0.311
0.301,0.403,0.304
0.3,0.427,0.301
0.302,0.426,0.293
0.299,0.418,0.296
0.303,0.414,0.291
0.301,0.404,0.298
0.3,0.415,0.298
0.306,0.412,0.291
0.304,0.429,0.297
0.313,0.442,0.286
0.318,0.442,0.299
0.317,0.431,0.3
0.313,0.427,0.302
0.31,0.443,0.313
0.309,0.438,0.308
0.306,0.441,0.308
0.306,0.443,0.313
0.303,0.435,0.297
0.317,0.437,0.302
0.304,0.436,0.299
0.311,0.443,0.298
0.323,0.432,0.298
0.313,0.439,0.297
0.316,0.428,0.295
0.314,0.433,0.306
0.313,0.432,0.31
0.315,0.423,0.306
0.307,0.424,0.297
0.315,0.432,0.298
0.314,0.421,0.3
0.32,0.415,0.303
0.311,0.416,0.3
0.311,0.422,0.3
0.318,0.419,0.29
0.316,0.433,0.292
0.313,0.447,0.29
0.327,0.454,0.306
0.311,0.453,0.306
0.313,0.435,0.301
0.32,0.435,0.301
0.319,0.424,0.294
0.322,0.422,0.293
0.333,0.421,0.293
0.317,0.426,0.289
0.324,0.434,0.288
0.324,0.413,0.296
0.32,0.431,0.292
0.323,0.422,0.295
0.32,0.44,0.294
0.31,0.452,0.282
0.307,0.468,0.281
0.306,0.469,0.283
0.299,0.471,0.292
0.298,0.462,0.286
0.298,0.453,0.29
0.296,0.456,0.281
0.296,0.438,0.284
0.291,0.442,0.281
0.304,0.44,0.284
0.305,0.423,0.287
0.3,0.422,0.285
0.297,0.421,0.286
0.295,0.422,0.291
0.289,0.424,0.286
0.291,0.437,0.28
0.298,0.437,0.282
0.299,0.452,0.284
0.303,0.45,0.292
0.311,0.457,0.28
0.304,0.461,0.279
0.292,0.458,0.281
0.301,0.444,0.275
0.294,0.431,0.284
0.301,0.439,0.282
0.298,0.434,0.288
0.3,0.43,0.288
0.299,0.432,0.288
0.298,0.422,0.287
0.302,0.411,0.287
0.313,0.411,0.287
0.317,0.417,0.294
0.308,0.423,0.301
0.307,0.422,0.291
0.313,0.419,0.305
0.314,0.428,0.297
0.303,0.43,0.291
0.312,0.425,0.285
0.304,0.41,0.288
0.311,0.412,0.292
0.315,0.406,0.296
0.307,0.418,0.296
0.314,0.433,0.292
0.311,0.436,0.293
0.304,0.428,0.291
0.305,0.424,0.292
0.305,0.41,0.31
0.293,0.417,0.318
0.297,0.424,0.316
0.314,0.426,0.316
0.322,0.431,0.311
0.329,0.424,0.308
0.314,0.439,0.31
0.32,0.444,0.306
0.316,0.446,0.304
0.309,0.446,0.311
0.304,0.46,0.315
0.301,0.462,0.319
0.311,0.455,0.306
0.308,0.456,0.296
0.304,0.456,0.3
0.301,0.448,0.294
0.299,0.43,0.294
0.304,0.422,0.287
0.315,0.4,0.285
0.63,0.555,0.648
0.644,0.632,0.659
0.659,0.657,0.684
0.66,0.663,0.679
0.66,0.66,0.67
0.648,0.657,0.671
0.657,0.666,0.676
0.647,0.664,0.662
0.644,0.643,0.659
0.642,0.639,0.66
0.65,0.66,0.683
0.293,0.412,0.277
0.283,0.416,0.268
0.299,0.418,0.279
0.298,0.415,0.278
0.298,0.398,0.272
0.296,0.401,0.276
0.291,0.395,0.271
0.31,0.399,0.276
0.306,0.4,0.275
0.3,0.399,0.262
0.297,0.394,0.27
0.292,0.392,0.269
0.289,0.393,0.288
0.286,0.39,0.277
0.288,0.4,0.289
0.284,0.391,0.294
0.29,0.4,0.28
0.284,0.396,0.283
0.283,0.401,0.27
0.283,0.394,0.28
0.276,0.399,0.279
0.276,0.398,0.283
0.279,0.408,0.27
0.269,0.412,0.288
0.267,0.405,0.285
0.27,0.408,0.287
0.273,0.406,0.287
0.271,0.403,0.28
0.261,0.408,0.272
0.269,0.404,0.278
0.277,0.407,0.286
0.276,0.416,0.291
0.278,0.408,0.291
