group_history_insertion,collector_monitoring_information_bolt,status_metric_extraction
0.309,0.476,0.313
0.308,0.462,0.322
0.312,0.461,0.309
0.318,0.473,0.322
0.32,0.463,0.316
0.325,0.454,0.314
0.329,0.456,0.327
0.323,0.461,0.322
0.329,0.47,0.32
0.334,0.475,0.328
0.33,0.483,0.336
0.342,0.49,0.335
0.343,0.498,0.327
0.323,0.498,0.324
0.307,0.488,0.3
0.31,0.485,0.292
0.295,0.484,0.292
0.298,0.475,0.286
0.288,0.467,0.284
0.279,0.483,0.289
0.292,0.471,0.289
0.293,0.47,0.287
0.288,0.468,0.288
0.306,0.46,0.287
0.291,0.467,0.298
0.294,0.468,0.288
0.296,0.465,0.296
0.296,0.461,0.298
0.309,0.48,0.307
0.307,0.459,0.3
0.304,0.452,0.296
0.305,0.457,0.296
0.301,0.459,0.296
0.303,0.465,0.287
0.295,0.475,0.303
0.301,0.477,0.293
0.296,0.476,0.293
0.299,0.482,0.287
0.293,0.475,0.295
0.286,0.466,0.301
0.294,0.46,0.289
0.293,0.446,0.289
0.303,0.439,0.29
0.3,0.453,0.294
0.291,0.428,0.302
0.284,0.419,0.312
0.286,0.425,0.301
0.289,0.431,0.311
0.288,0.415,0.303
0.298,0.417,0.306
0.286,0.424,0.306
0.294,0.426,0.299
0.297,0.459,0.312
0.311,0.45,0.304
0.299,0.459,0.308
0.303,0.458,0.302
0.301,0.472,0.297
0.296,0.465,0.304
0.301,0.474,0.298
0.304,0.48,0.307
0.299,0.475,0.318
0.302,0.493,0.302
0.305,0.481,0.329
0.302,0.49,0.324
0.306,0.494,0.313
0.307,0.513,0.304
0.298,0.512,0.3
0.299,0.513,0.306
0.299,0.512,0.304
0.302,0.513,0.305
0.296,0.505,0.307
0.288,0.497,0.31
0.286,0.478,0.304
0.292,0.469,0.294
0.297,0.462,0.291
0.292,0.45,0.293
0.299,0.44,0.3
0.297,0.452,0.3
0.298,0.473,0.317
0.31,0.497,0.329
0.322,0.506,0.35
0.314,0.524,0.343
0.32,0.55,0.326
0.332,0.539,0.346
0.35,0.539,0.347
0.354,0.543,0.344
0.366,0.543,0.34
0.362,0.53,0.346
0.367,0.516,0.354
0.355,0.482,0.357
0.344,0.488,0.357
0.349,0.483,0.36
0.37,0.48,0.368
0.369,0.501,0.38
0.38,0.523,0.382
0.387,0.511,0.379
0.381,0.529,0.378
0.37,0.539,0.368
0.368,0.538,0.373
0.365,0.538,0.384
0.348,0.553,0.387
0.352,0.553,0.381
0.357,0.54,0.394
0.351,0.507,0.374
0.346,0.497,0.374
0.347,0.506,0.362
0.342,0.502,0.355
0.337,0.468,0.337
0.346,0.469,0.335
0.338,0.476,0.329
0.335,0.453,0.317
0.322,0.436,0.325
0.315,0.436,0.322
0.306,0.442,0.32
0.318,0.459,0.317
0.315,0.466,0.306
0.323,0.462,0.315
0.327,0.456,0.317
0.318,0.45,0.321
0.309,0.438,0.316
0.309,0.438,0.313
0.313,0.431,0.298
0.318,0.453,0.301
0.314,0.449,0.3
0.299,0.449,0.305
0.309,0.437,0.296
0.311,0.435,0.3
0.309,0.429,0.303
0.31,0.433,0.305
0.308,0.425,0.296
0.303,0.438,0.299
0.315,0.427,0.305
0.31,0.412,0.307
0.309,0.415,0.305
0.301,0.401,0.295
0.306,0.402,0.309
0.302,0.397,0.307
0.3,0.399,0.307
0.293,0.404,0.312
0.299,0.4,0.295
0.302,0.405,0.29
0.318,0.41,0.297
0.309,0.413,0.295
0.3,0.435,0.301
0.32,0.443,0.301
0.311,0.441,0.301
0.307,0.467,0.297
0.289,0.471,0.298
0.288,0.474,0.293
0.286,0.47,0.298
0.286,0.466,0.292
0.297,0.458,0.292
0.299,0.461,0.301
0.289,0.443,0.301
0.294,0.444,0.291
0.302,0.441,0.294
0.307,0.417,0.291
0.306,0.411,0.299
0.311,0.419,0.3
0.305,0.425,0.319
0.304,0.437,0.316
0.303,0.461,0.314
0.301,0.464,0.319
0.295,0.47,0.318
0.297,0.471,0.312
0.304,0.464,0.301
0.289,0.473,0.304
0.308,0.46,0.315
0.31,0.464,0.301
0.296,0.478,0.304
0.302,0.479,0.33
0.295,0.475,0.319
0.287,0.473,0.318
0.292,0.46,0.313
0.294,0.465,0.319
0.293,0.464,0.307
0.286,0.456,0.287
0.282,0.479,0.277
0.28,0.474,0.281
0.284,0.468,0.279
0.281,0.471,0.275
0.277,0.456,0.275
0.28,0.466,0.275
0.29,0.483,0.279
0.284,0.505,0.292
0.291,0.51,0.288
0.285,0.513,0.288
0.298,0.513,0.289
0.293,0.492,0.29
0.289,0.494,0.288
0.285,0.492,0.294
0.285,0.487,0.294
0.286,0.481,0.299
0.28,0.473,0.293
0.285,0.457,0.293
0.286,0.436,0.286
0.289,0.435,0.302
0.287,0.424,0.301
0.28,0.418,0.296
0.289,0.41,0.295
0.274,0.412,0.289
0.263,0.411,0.283
0.26,0.413,0.276
0.272,0.411,0.275
0.27,0.405,0.292
0.279,0.393,0.299
0.271,0.396,0.302
0.276,0.408,0.305
0.293,0.417,0.283
0.299,0.46,0.288
0.298,0.457,0.286
0.296,0.447,0.291
0.296,0.438,0.292
0.295,0.435,0.302
0.285,0.448,0.312
0.287,0.471,0.311
0.298,0.501,0.3
0.307,0.488,0.299
0.301,0.497,0.302
0.306,0.509,0.308
0.323,0.49,0.316
0.317,0.493,0.302
0.306,0.494,0.299
0.301,0.501,0.306
0.298,0.497,0.29
0.291,0.471,0.285
0.291,0.444,0.282
0.293,0.442,0.276
0.296,0.424,0.28
0.294,0.405,0.284
0.293,0.394,0.279
0.283,0.377,0.274
0.265,0.386,0.265
0.263,0.375,0.264
0.266,0.373,0.262
0.267,0.377,0.265
0.259,0.379,0.263
0.262,0.371,0.265
0.266,0.37,0.266
0.259,0.367,0.271
0.26,0.375,0.276
0.272,0.422,0.271
0.272,0.417,0.262
0.27,0.426,0.251
0.269,0.456,0.258
0.269,0.446,0.254
0.269,0.456,0.265
0.287,0.469,0.266
0.287,0.48,0.279
0.303,0.507,0.29
0.287,0.511,0.299
0.313,0.47,0.309
0.311,0.469,0.31
0.299,0.458,0.304
0.295,0.437,0.306
0.3,0.424,0.305
0.305,0.429,0.302
0.293,0.425,0.289
0.274,0.42,0.289
0.266,0.39,0.291
0.258,0.383,0.28
0.249,0.389,0.269
0.253,0.386,0.272
0.249,0.399,0.266
0.251,0.404,0.266
0.249,0.414,0.272
0.26,0.422,0.276
0.259,0.417,0.284
0.257,0.406,0.269
0.26,0.41,0.27
0.256,0.417,0.262
0.25,0.407,0.261
0.262,0.415,0.255
0.259,0.418,0.258
0.256,0.415,0.26
0.254,0.406,0.261
0.259,0.402,0.265
0.262,0.388,0.26
0.261,0.387,0.258
0.265,0.395,0.269
0.274,0.401,0.267
0.268,0.407,0.265
0.263,0.413,0.259
0.261,0.402,0.254
0.256,0.405,0.261
0.268,0.403,0.265
0.264,0.408,0.268
0.252,0.394,0.269
0.252,0.398,0.273
0.262,0.386,0.268
0.255,0.394,0.259
0.252,0.403,0.262
0.258,0.388,0.265
