group_history_insertion,collector_monitoring_information_bolt,status_metric_extraction
0.298,0.454,0.295
0.294,0.451,0.306
0.306,0.441,0.31
0.306,0.454,0.306
0.299,0.455,0.295
0.301,0.454,0.301
0.307,0.45,0.297
0.295,0.45,0.301
0.29,0.46,0.296
0.287,0.463,0.296
0.282,0.466,0.29
0.279,0.47,0.284
0.291,0.478,0.283
0.284,0.485,0.281
0.288,0.479,0.283
0.289,0.481,0.288
0.295,0.488,0.289
0.283,0.477,0.295
0.289,0.473,0.303
0.287,0.475,0.308
0.278,0.466,0.301
0.282,0.464,0.298
0.275,0.475,0.302
0.281,0.474,0.302
0.286,0.474,0.298
0.278,0.458,0.3
0.277,0.446,0.304
0.281,0.451,0.302
0.285,0.438,0.308
0.29,0.449,0.316
0.287,0.446,0.319
0.287,0.444,0.31
0.293,0.442,0.31
0.304,0.442,0.304
0.297,0.438,0.295
0.294,0.436,0.297
0.3,0.432,0.294
0.298,0.451,0.303
0.314,0.458,0.319
0.31,0.44,0.305
0.295,0.466,0.323
0.3,0.477,0.307
0.292,0.475,0.309
0.295,0.472,0.312
0.292,0.471,0.31
0.283,0.479,0.301
0.28,0.489,0.3
0.282,0.482,0.297
0.288,0.457,0.292
0.287,0.472,0.289
0.294,0.484,0.284
0.289,0.468,0.289
0.294,0.468,0.284
0.287,0.471,0.301
0.287,0.475,0.29
0.283,0.474,0.296
0.28,0.476,0.307
0.286,0.466,0.31
0.284,0.448,0.305
0.285,0.436,0.307
0.288,0.444,0.313
0.297,0.46,0.313
0.304,0.453,0.316
0.303,0.448,0.313
0.294,0.455,0.308
0.294,0.471,0.304
0.294,0.456,0.301
0.288,0.458,0.299
0.296,0.445,0.316
0.301,0.428,0.305
0.295,0.422,0.309
0.291,0.416,0.304
0.302,0.416,0.301
0.291,0.422,0.304
0.291,0.423,0.301
0.284,0.408,0.292
0.286,0.413,0.315
0.298,0.411,0.32
0.296,0.407,0.324
0.289,0.419,0.327
0.285,0.419,0.32
0.282,0.44,0.319
0.304,0.427,0.323
0.301,0.424,0.311
0.301,0.441,0.309
0.309,0.445,0.316
0.313,0.446,0.307
0.333,0.467,0.309
0.328,0.472,0.306
0.306,0.462,0.308
0.306,0.456,0.299
0.286,0.451,0.295
0.294,0.437,0.296
0.292,0.431,0.307
0.279,0.433,0.304
0.283,0.421,0.301
0.284,0.43,0.3
0.272,0.429,0.298
0.274,0.44,0.29
0.267,0.442,0.297
0.27,0.468,0.298
0.276,0.482,0.298
0.281,0.481,0.305
0.279,0.471,0.3
0.293,0.486,0.309
0.285,0.485,0.307
0.292,0.481,0.312
0.293,0.482,0.316
0.3,0.497,0.317
0.296,0.482,0.294
0.301,0.478,0.299
0.303,0.448,0.309
0.29,0.427,0.308
0.304,0.419,0.308
0.29,0.445,0.296
0.286,0.451,0.286
0.287,0.452,0.298
0.289,0.442,0.297
0.287,0.442,0.31
0.3,0.45,0.314
0.309,0.446,0.301
0.296,0.431,0.31
0.283,0.442,0.299
0.284,0.446,0.299
0.28,0.446,0.295
0.291,0.448,0.295
0.285,0.438,0.303
0.286,0.445,0.306
0.284,0.457,0.309
0.297,0.46,0.309
0.299,0.454,0.313
0.297,0.448,0.32
0.29,0.452,0.337
0.293,0.435,0.329
0.301,0.435,0.3
0.295,0.43,0.298
0.302,0.431,0.301
0.306,0.428,0.304
0.303,0.429,0.317
0.304,0.45,0.319
0.302,0.453,0.301
0.306,0.45,0.316
0.31,0.439,0.309
0.299,0.441,0.311
0.299,0.455,0.305
0.301,0.456,0.312
0.29,0.464,0.301
0.291,0.463,0.298
0.307,0.455,0.289
0.298,0.448,0.287
