group_history_insertion,collector_monitoring_information_bolt,status_metric_extraction
0.296,0.437,0.303
0.295,0.44,0.295
0.312,0.445,0.308
0.311,0.439,0.302
0.308,0.444,0.292
0.307,0.46,0.295
0.296,0.462,0.294
0.281,0.455,0.305
0.283,0.453,0.295
0.29,0.453,0.293
0.309,0.451,0.293
0.302,0.451,0.29
0.314,0.448,0.295
0.312,0.449,0.306
0.308,0.458,0.303
0.302,0.444,0.306
0.308,0.446,0.303
0.298,0.44,0.296
0.302,0.451,0.3
0.287,0.446,0.295
0.281,0.442,0.291
0.314,0.443,0.3
0.308,0.448,0.313
0.301,0.434,0.307
0.31,0.43,0.3
0.305,0.428,0.292
0.295,0.436,0.292
0.294,0.444,0.308
0.291,0.436,0.304
0.289,0.434,0.293
0.293,0.423,0.298
0.289,0.42,0.286
0.291,0.414,0.286
0.287,0.422,0.282
0.295,0.428,0.278
0.275,0.431,0.281
0.271,0.428,0.282
0.27,0.434,0.283
0.276,0.437,0.293
0.275,0.438,0.291
0.275,0.43,0.29
0.27,0.431,0.291
0.275,0.43,0.288
0.278,0.43,0.292
0.28,0.425,0.284
0.278,0.425,0.288
0.288,0.409,0.276
0.286,0.414,0.28
0.282,0.423,0.286
0.275,0.427,0.289
0.261,0.444,0.29
0.274,0.45,0.291
0.271,0.46,0.291
0.288,0.443,0.282
0.281,0.459,0.285
0.277,0.454,0.292
0.272,0.454,0.286
0.278,0.457,0.287
0.28,0.438,0.285
0.285,0.43,0.285
0.284,0.42,0.29
0.28,0.413,0.291
0.292,0.405,0.285
0.28,0.419,0.289
0.277,0.405,0.29
0.282,0.404,0.294
0.264,0.412,0.289
0.267,0.406,0.292
0.261,0.41,0.301
0.264,0.411,0.297
0.262,0.403,0.297
0.266,0.402,0.293
0.279,0.415,0.285
0.283,0.426,0.284
0.279,0.433,0.294
0.287,0.444,0.286
0.277,0.433,0.283
0.285,0.442,0.282
0.295,0.445,0.275
0.292,0.472,0.283
0.284,0.477,0.28
0.287,0.497,0.288
0.285,0.498,0.283
0.299,0.483,0.283
0.309,0.463,0.28
0.3,0.46,0.275
0.302,0.451,0.274
0.301,0.437,0.278
0.303,0.432,0.284
0.307,0.414,0.281
0.303,0.416,0.283
0.297,0.403,0.282
0.293,0.401,0.283
0.303,0.425,0.279
0.283,0.433,0.288
0.269,0.427,0.29
0.264,0.433,0.299
0.273,0.45,0.304
0.274,0.455,0.306
0.276,0.471,0.307
0.274,0.476,0.309
0.275,0.471,0.313
0.281,0.466,0.314
0.276,0.44,0.299
0.275,0.439,0.287
0.286,0.443,0.285
0.29,0.446,0.298
0.284,0.454,0.294
0.281,0.431,0.277
0.277,0.436,0.286
0.278,0.449,0.283
0.28,0.437,0.285
0.273,0.443,0.285
0.278,0.451,0.287
0.274,0.438,0.289
0.278,0.453,0.286
0.295,0.459,0.287
0.303,0.451,0.281
0.299,0.446,0.285
0.301,0.435,0.281
0.302,0.434,0.283
0.291,0.436,0.293
0.28,0.438,0.289
0.288,0.436,0.288
0.281,0.453,0.282
0.275,0.432,0.285
0.273,0.437,0.291
0.28,0.428,0.311
0.283,0.444,0.325
0.276,0.464,0.313
0.287,0.474,0.297
0.286,0.464,0.315
0.293,0.451,0.312
0.311,0.455,0.312
0.307,0.458,0.316
0.307,0.473,0.301
0.314,0.468,0.302
0.31,0.473,0.301
0.311,0.471,0.314
0.313,0.468,0.304
0.314,0.461,0.31
0.296,0.454,0.318
0.311,0.447,0.31
0.301,0.443,0.312
0.296,0.459,0.302
0.302,0.448,0.295
0.309,0.445,0.301
0.311,0.445,0.3
0.298,0.436,0.298
0.296,0.44,0.299
0.3,0.44,0.3
0.287,0.447,0.31
0.291,0.451,0.312
0.306,0.457,0.307
0.311,0.451,0.301
0.308,0.434,0.318
0.306,0.429,0.314
0.282,0.428,0.302
0.282,0.438,0.304
0.28,0.445,0.295
0.284,0.444,0.29
0.283,0.443,0.295
0.29,0.445,0.291
0.28,0.44,0.292
0.294,0.439,0.278
0.293,0.443,0.286
0.3,0.462,0.28
0.296,0.462,0.295
0.289,0.469,0.289
0.302,0.46,0.297
0.308,0.438,0.303
0.309,0.433,0.303
0.308,0.424,0.304
0.317,0.426,0.296
0.314,0.434,0.302
0.314,0.429,0.295
0.301,0.422,0.29
0.289,0.407,0.285
0.291,0.413,0.304
0.292,0.396,0.292
0.282,0.393,0.289
0.293,0.398,0.285
0.297,0.402,0.28
0.285,0.397,0.282
