group_history_insertion,collector_monitoring_information_bolt,metric_extraction
0.18,0.272,0.199
0.171,0.244,0.188
0.178,0.258,0.184
0.178,0.288,0.193
0.176,0.255,0.184
0.171,0.257,0.182
0.198,0.28,0.184
0.191,0.28,0.192
0.177,0.279,0.189
0.195,0.276,0.195
0.178,0.253,0.199
0.2,0.285,0.204
0.184,0.27,0.195
0.181,0.267,0.182
0.183,0.302,0.197
0.187,0.277,0.197
0.176,0.247,0.196
0.18,0.274,0.187
0.188,0.251,0.2
0.178,0.258,0.19
0.175,0.25,0.186
0.174,0.256,0.192
0.186,0.268,0.197
0.181,0.252,0.193
0.188,0.261,0.177
0.193,0.247,0.186
0.182,0.263,0.189
0.193,0.276,0.204
0.205,0.265,0.223
0.201,0.261,0.203
0.188,0.271,0.196
0.204,0.274,0.203
0.181,0.246,0.197
0.187,0.246,0.211
0.199,0.256,0.215
0.225,0.278,0.241
0.206,0.28,0.221
0.199,0.275,0.212
0.191,0.262,0.204
0.194,0.255,0.207
0.199,0.251,0.206
0.188,0.249,0.219
0.196,0.269,0.22
0.197,0.275,0.216
0.275,0.261,0.304
0.191,0.256,0.212
0.201,0.264,0.209
0.275,0.38,0.301
0.187,0.248,0.21
0.213,0.268,0.209
0.229,0.283,0.223
0.201,0.261,0.211
0.195,0.266,0.219
0.189,0.262,0.203
0.199,0.271,0.207
0.208,0.288,0.211
0.201,0.263,0.224
0.201,0.269,0.234
0.198,0.25,0.218
0.196,0.29,0.224
0.196,0.275,0.205
0.195,0.262,0.21
0.202,0.275,0.216
0.191,0.249,0.211
0.193,0.277,0.211
0.198,0.287,0.197
0.189,0.262,0.192
0.188,0.255,0.22
0.185,0.258,0.194
0.196,0.263,0.196
0.185,0.275,0.194
0.194,0.258,0.213
0.273,0.248,0.272
0.196,0.263,0.19
0.274,0.326,0.271
0.181,0.261,0.303
0.162,0.25,0.178
0.181,0.245,0.189
0.17,0.235,0.192
0.182,0.246,0.176
0.267,0.248,0.275
0.176,0.259,0.183
0.172,0.275,0.186
0.176,0.27,0.178
0.17,0.241,0.199
0.181,0.256,0.2
0.176,0.264,0.187
0.185,0.262,0.185
0.174,0.232,0.183
0.177,0.28,0.195
0.256,0.257,0.279
0.176,0.288,0.193
0.188,0.277,0.195
0.182,0.268,0.19
0.183,0.256,0.191
0.182,0.268,0.207
0.186,0.284,0.194
0.181,0.248,0.195
0.177,0.242,0.192
0.179,0.251,0.184
0.178,0.274,0.193
0.175,0.235,0.188
0.173,0.291,0.196
0.175,0.267,0.183
0.198,0.28,0.2
0.195,0.255,0.216
0.183,0.278,0.184
0.178,0.261,0.198
0.172,0.252,0.192
0.183,0.255,0.186
0.174,0.251,0.183
0.174,0.245,0.188
