group_history_insertion,collector_monitoring_information_bolt,metric_extraction
0.202,0.266,0.216
0.209,0.264,0.216
0.215,0.27,0.22
0.197,0.263,0.207
0.187,0.234,0.204
0.196,0.232,0.194
0.186,0.246,0.214
0.282,0.262,0.308
0.196,0.247,0.227
0.256,0.252,0.291
0.198,0.257,0.211
0.19,0.236,0.204
0.188,0.225,0.198
0.263,0.244,0.307
0.192,0.242,0.209
0.186,0.248,0.207
0.274,0.218,0.321
0.186,0.225,0.207
0.195,0.245,0.218
0.198,0.253,0.209
0.194,0.251,0.209
0.18,0.261,0.195
0.192,0.252,0.211
0.189,0.241,0.196
0.192,0.236,0.201
0.195,0.261,0.196
0.177,0.252,0.196
0.182,0.234,0.189
0.201,0.244,0.197
0.178,0.244,0.194
0.191,0.23,0.195
0.186,0.224,0.194
0.18,0.261,0.193
0.193,0.252,0.2
0.177,0.215,0.185
0.173,0.235,0.197
0.186,0.244,0.194
0.177,0.245,0.281
0.182,0.237,0.202
0.177,0.232,0.189
0.171,0.226,0.187
0.177,0.243,0.177
0.17,0.228,0.192
0.193,0.252,0.198
0.176,0.234,0.187
0.618,0.539,0.632
0.203,0.236,0.229
0.189,0.255,0.202
0.181,0.236,0.194
0.183,0.248,0.191
0.178,0.23,0.188
0.185,0.236,0.189
0.177,0.222,0.191
0.186,0.254,0.19
0.18,0.256,0.201
0.182,0.242,0.188
0.18,0.254,0.204
0.182,0.251,0.212
0.177,0.249,0.202
0.181,0.272,0.195
0.18,0.256,0.213
0.18,0.247,0.189
0.193,0.246,0.202
0.178,0.263,0.202
0.247,0.244,0.258
0.587,0.562,0.762
0.175,0.244,0.2
0.178,0.231,0.196
0.192,0.236,0.211
0.18,0.246,0.209
0.174,0.24,0.197
0.177,0.245,0.191
0.174,0.237,0.19
0.18,0.234,0.193
0.176,0.255,0.197
0.307,0.363,0.4
0.197,0.249,0.219
0.285,0.292,0.31
0.194,0.243,0.212
0.188,0.267,0.203
0.192,0.258,0.213
0.195,0.258,0.209
0.201,0.253,0.208
0.217,0.266,0.229
0.197,0.249,0.216
0.202,0.243,0.216
0.199,0.245,0.206
0.209,0.249,0.217
0.204,0.269,0.21
0.203,0.264,0.216
