group_history_insertion,collector_monitoring_information_bolt,metric_extraction
0.262,0.388,0.266
0.245,0.385,0.259
0.246,0.389,0.258
0.25,0.379,0.257
0.25,0.389,0.259
0.262,0.397,0.26
0.268,0.401,0.261
0.265,0.412,0.276
0.265,0.414,0.276
0.268,0.408,0.279
0.269,0.408,0.283
0.266,0.416,0.276
0.268,0.424,0.29
0.262,0.424,0.29
0.256,0.401,0.276
0.252,0.403,0.27
0.256,0.405,0.27
0.253,0.387,0.258
0.261,0.377,0.255
0.265,0.371,0.26
0.264,0.385,0.275
0.273,0.376,0.271
0.274,0.367,0.261
0.277,0.366,0.265
0.275,0.395,0.26
0.268,0.394,0.26
0.261,0.393,0.265
0.279,0.391,0.266
0.29,0.394,0.274
0.295,0.399,0.272
0.288,0.415,0.266
0.294,0.394,0.27
0.3,0.395,0.271
0.278,0.395,0.264
0.264,0.387,0.266
0.266,0.384,0.257
0.249,0.389,0.259
0.248,0.391,0.261
0.252,0.398,0.259
0.264,0.397,0.263
0.266,0.385,0.273
0.266,0.39,0.271
0.252,0.389,0.266
0.25,0.39,0.261
0.246,0.393,0.257
0.256,0.4,0.262
0.262,0.402,0.267
0.267,0.409,0.267
0.274,0.417,0.264
0.254,0.423,0.271
0.259,0.429,0.256
0.263,0.439,0.258
0.272,0.452,0.264
0.274,0.448,0.263
0.288,0.448,0.265
0.279,0.441,0.261
0.279,0.424,0.272
0.277,0.427,0.272
0.271,0.421,0.28
0.268,0.412,0.291
0.277,0.404,0.289
0.268,0.391,0.284
0.274,0.382,0.278
0.268,0.389,0.293
0.262,0.386,0.293
0.265,0.391,0.286
0.272,0.386,0.282
0.263,0.388,0.265
0.252,0.398,0.272
0.257,0.399,0.259
0.256,0.404,0.255
0.269,0.411,0.258
0.268,0.403,0.261
0.269,0.398,0.264
0.265,0.405,0.267
0.274,0.393,0.265
0.272,0.404,0.269
0.265,0.403,0.265
0.27,0.396,0.266
0.275,0.396,0.263
0.28,0.382,0.263
0.28,0.377,0.261
0.267,0.391,0.266
0.266,0.388,0.268
0.264,0.391,0.263
0.254,0.393,0.263
0.267,0.388,0.265
0.271,0.393,0.258
0.266,0.401,0.26
0.263,0.399,0.257
0.259,0.403,0.258
0.266,0.399,0.281
0.258,0.383,0.275
0.265,0.402,0.265
0.267,0.406,0.264
0.268,0.406,0.274
0.263,0.412,0.267
0.249,0.434,0.259
0.256,0.447,0.262
0.263,0.45,0.26
0.26,0.464,0.256
0.277,0.455,0.252
0.262,0.458,0.246
0.27,0.443,0.256
0.269,0.442,0.251
0.263,0.437,0.259
0.263,0.423,0.256
0.284,0.405,0.257
0.284,0.395,0.268
0.289,0.383,0.267
0.284,0.358,0.274
0.273,0.36,0.275
0.264,0.365,0.289
0.263,0.361,0.279
0.264,0.36,0.268
0.253,0.358,0.261
0.261,0.354,0.271
0.263,0.36,0.261
0.254,0.366,0.268
0.254,0.379,0.284
0.26,0.386,0.281
0.273,0.389,0.282
0.27,0.407,0.28
0.271,0.409,0.269
0.272,0.409,0.267
0.262,0.419,0.267
0.246,0.418,0.263
0.246,0.413,0.275
0.242,0.409,0.275
0.244,0.406,0.263
0.255,0.402,0.268
0.26,0.399,0.264
0.265,0.378,0.265
0.264,0.378,0.258
0.255,0.401,0.258
0.256,0.404,0.261
0.252,0.396,0.268
0.259,0.405,0.262
0.269,0.434,0.263
0.275,0.44,0.264
0.267,0.446,0.257
0.254,0.459,0.264
0.248,0.46,0.268
0.264,0.462,0.261
0.262,0.461,0.255
0.266,0.447,0.26
0.277,0.455,0.274
0.279,0.462,0.278
0.273,0.452,0.271
0.28,0.451,0.266
0.285,0.444,0.274
0.273,0.43,0.279
0.266,0.44,0.272
0.267,0.432,0.278
0.262,0.429,0.282
0.269,0.415,0.268
0.264,0.428,0.265
0.259,0.432,0.277
0.26,0.411,0.284
0.268,0.408,0.277
0.274,0.41,0.276
0.28,0.413,0.277
0.293,0.405,0.284
0.281,0.422,0.288
0.267,0.416,0.286
0.265,0.427,0.292
0.26,0.413,0.284
0.257,0.398,0.276
0.254,0.395,0.276
0.251,0.402,0.267
0.247,0.401,0.264
0.251,0.395,0.258
0.254,0.399,0.259
0.247,0.407,0.262
0.244,0.401,0.265
0.241,0.398,0.258
0.252,0.407,0.257
0.256,0.402,0.261
0.258,0.402,0.261
0.258,0.404,0.271
0.257,0.398,0.279
0.262,0.394,0.282
0.268,0.389,0.282
0.259,0.37,0.274
0.262,0.36,0.281
0.262,0.357,0.285
0.278,0.356,0.284
0.282,0.363,0.283
0.283,0.366,0.277
0.286,0.373,0.273
0.288,0.375,0.28
0.279,0.374,0.273
0.273,0.376,0.269
0.271,0.387,0.268
0.26,0.395,0.26
0.263,0.395,0.257
0.258,0.409,0.253
0.258,0.418,0.256
0.249,0.424,0.259
0.248,0.425,0.259
0.249,0.416,0.255
0.251,0.423,0.252
0.245,0.428,0.251
0.244,0.424,0.256
0.252,0.426,0.253
