group_history_insertion,collector_monitoring_information_bolt,metric_extraction
0.213,0.251,0.224
0.198,0.283,0.216
0.203,0.28,0.213
0.194,0.279,0.209
0.223,0.286,0.228
0.23,0.28,0.217
0.3,0.29,0.286
0.209,0.274,0.212
0.21,0.273,0.243
0.2,0.284,0.215
0.197,0.273,0.221
0.204,0.266,0.216
0.212,0.295,0.226
0.198,0.273,0.214
0.197,0.267,0.208
0.205,0.276,0.221
0.218,0.257,0.213
0.2,0.28,0.226
0.211,0.297,0.218
0.214,0.283,0.226
0.203,0.274,0.22
0.21,0.286,0.229
0.203,0.287,0.215
0.21,0.303,0.217
0.205,0.298,0.233
0.207,0.278,0.21
0.2,0.264,0.212
0.198,0.27,0.231
0.202,0.285,0.219
0.211,0.281,0.216
0.201,0.291,0.218
0.201,0.28,0.234
0.212,0.281,0.219
0.195,0.281,0.207
0.197,0.273,0.202
0.2,0.264,0.194
0.199,0.278,0.197
0.181,0.278,0.193
0.198,0.299,0.189
0.187,0.269,0.199
0.194,0.276,0.195
0.188,0.276,0.193
0.189,0.275,0.21
0.192,0.27,0.205
0.192,0.264,0.195
0.286,0.34,0.292
0.181,0.23,0.189
0.173,0.232,0.194
0.176,0.242,0.196
0.179,0.267,0.198
0.169,0.264,0.188
0.177,0.263,0.186
0.193,0.256,0.189
0.182,0.252,0.197
0.188,0.279,0.21
0.18,0.277,0.218
0.179,0.235,0.195
0.18,0.256,0.194
0.177,0.256,0.2
0.182,0.26,0.196
0.178,0.272,0.194
0.177,0.272,0.183
0.171,0.249,0.186
0.174,0.251,0.19
0.182,0.261,0.186
0.176,0.247,0.187
0.169,0.256,0.177
0.184,0.26,0.2
0.17,0.235,0.196
0.169,0.237,0.188
0.171,0.267,0.192
0.184,0.261,0.193
0.185,0.272,0.204
0.179,0.263,0.192
0.178,0.244,0.18
0.177,0.256,0.19
0.177,0.269,0.185
0.18,0.244,0.209
0.187,0.243,0.193
0.189,0.254,0.201
0.183,0.245,0.191
0.179,0.257,0.193
0.19,0.241,0.195
0.19,0.259,0.207
0.197,0.239,0.211
0.203,0.277,0.207
0.194,0.276,0.201
0.19,0.253,0.223
0.189,0.277,0.222
0.188,0.264,0.212
0.22,0.252,0.22
0.209,0.276,0.219
0.197,0.255,0.217
0.203,0.272,0.208
0.21,0.284,0.222
0.206,0.262,0.21
0.194,0.266,0.207
0.198,0.271,0.221
0.195,0.267,0.224
0.194,0.269,0.203
0.195,0.279,0.221
0.192,0.254,0.201
0.195,0.255,0.205
0.205,0.281,0.208
0.194,0.242,0.209
0.2,0.267,0.21
0.197,0.24,0.214
0.196,0.251,0.215
0.204,0.273,0.217
0.183,0.248,0.205
0.192,0.266,0.21
0.203,0.254,0.209
0.2,0.237,0.211
0.184,0.245,0.205
0.207,0.249,0.202
0.197,0.257,0.209
0.19,0.251,0.21
0.19,0.261,0.205
0.195,0.263,0.21
0.196,0.243,0.198
0.191,0.248,0.193
0.189,0.25,0.2
0.185,0.243,0.199
0.199,0.263,0.216
0.188,0.238,0.203
0.184,0.242,0.207
0.19,0.252,0.195
0.18,0.277,0.203
0.183,0.24,0.195
0.18,0.247,0.184
0.18,0.252,0.193
0.165,0.244,0.18
0.17,0.248,0.194
0.172,0.246,0.182
0.169,0.249,0.186
0.169,0.249,0.185
0.166,0.249,0.177
0.18,0.239,0.19
0.179,0.241,0.196
0.191,0.266,0.194
0.178,0.235,0.181
0.182,0.242,0.2
0.178,0.263,0.213
0.192,0.285,0.194
0.18,0.237,0.192
0.185,0.275,0.191
0.17,0.243,0.189
0.173,0.257,0.193
0.18,0.259,0.187
0.18,0.26,0.2
0.187,0.252,0.199
0.184,0.254,0.181
0.175,0.244,0.19
0.171,0.233,0.188
0.189,0.241,0.183
0.172,0.251,0.188
0.182,0.246,0.191
0.186,0.263,0.188
0.173,0.269,0.186
0.165,0.252,0.197
0.167,0.256,0.204
0.176,0.246,0.189
0.179,0.245,0.186
0.175,0.242,0.193
0.185,0.269,0.195
0.17,0.246,0.198
0.182,0.251,0.189
0.18,0.27,0.189
0.177,0.249,0.195
0.171,0.238,0.188
0.205,0.254,0.197
0.181,0.246,0.18
0.17,0.277,0.195
0.184,0.263,0.191
0.178,0.237,0.195
0.176,0.247,0.196
0.18,0.273,0.2
0.174,0.245,0.19
0.183,0.239,0.188
0.185,0.262,0.192
0.201,0.259,0.207
0.193,0.258,0.205
0.194,0.26,0.206
0.219,0.261,0.208
0.203,0.266,0.211
0.201,0.296,0.214
0.194,0.275,0.205
0.194,0.274,0.213
0.187,0.259,0.221
0.186,0.253,0.203
0.194,0.263,0.205
0.202,0.258,0.216
0.2,0.276,0.222
0.205,0.266,0.203
0.186,0.25,0.205
0.198,0.269,0.204
0.191,0.259,0.204
0.194,0.25,0.204
0.186,0.268,0.215
0.191,0.28,0.211
0.199,0.257,0.205
0.197,0.283,0.208
0.19,0.265,0.217
0.204,0.249,0.208
0.184,0.263,0.205
0.19,0.249,0.207
0.18,0.256,0.202
0.185,0.25,0.21
0.19,0.273,0.203
0.194,0.257,0.203
0.191,0.252,0.205
0.189,0.253,0.205
0.189,0.262,0.205
0.2,0.254,0.217
0.195,0.274,0.217
0.207,0.267,0.217
0.201,0.281,0.211
0.196,0.239,0.198
0.197,0.257,0.204
0.187,0.261,0.21
0.182,0.264,0.198
0.199,0.252,0.215
0.193,0.275,0.198
0.201,0.289,0.195
0.184,0.254,0.201
0.188,0.262,0.196
0.182,0.257,0.183
0.176,0.263,0.192
0.171,0.266,0.191
0.188,0.252,0.188
0.186,0.265,0.196
0.174,0.248,0.192
0.178,0.261,0.187
0.18,0.245,0.199
0.176,0.276,0.191
0.174,0.255,0.194
0.177,0.256,0.191
0.179,0.24,0.21
0.184,0.252,0.19
0.174,0.25,0.187
0.191,0.263,0.191
0.175,0.257,0.2
0.187,0.259,0.195
0.188,0.248,0.198
0.176,0.258,0.194
0.184,0.266,0.199
0.173,0.262,0.197
0.174,0.26,0.189
0.192,0.264,0.204
0.188,0.264,0.195
0.18,0.274,0.189
0.175,0.247,0.2
0.188,0.273,0.201
0.172,0.231,0.191
0.189,0.266,0.2
0.182,0.256,0.193
0.173,0.237,0.182
0.179,0.278,0.195
0.183,0.265,0.199
0.186,0.277,0.193
0.185,0.26,0.187
0.183,0.246,0.192
0.183,0.264,0.203
0.181,0.266,0.202
0.174,0.242,0.186
0.176,0.266,0.195
0.181,0.244,0.199
0.182,0.284,0.195
0.181,0.264,0.196
0.182,0.28,0.191
0.191,0.243,0.19
0.171,0.273,0.189
0.176,0.273,0.191
0.181,0.265,0.2
0.183,0.277,0.196
0.187,0.25,0.208
0.197,0.271,0.208
0.194,0.256,0.204
0.194,0.267,0.208
0.193,0.267,0.196
0.196,0.258,0.202
0.201,0.271,0.207
0.182,0.279,0.204
0.2,0.29,0.202
0.195,0.266,0.198
0.186,0.246,0.2
0.19,0.255,0.209
0.198,0.265,0.209
0.198,0.268,0.215
0.194,0.275,0.201
0.202,0.264,0.203
0.186,0.259,0.204
