group_history_insertion,collector_monitoring_information_bolt,metric_extraction
0.277,0.437,0.292
0.279,0.439,0.287
0.276,0.443,0.297
0.27,0.446,0.295
0.271,0.44,0.283
0.275,0.449,0.289
0.275,0.449,0.281
0.276,0.437,0.279
0.268,0.431,0.277
0.276,0.437,0.29
0.273,0.422,0.278
0.279,0.414,0.29
0.273,0.412,0.291
0.287,0.413,0.293
0.287,0.413,0.281
0.271,0.401,0.291
0.27,0.406,0.284
0.268,0.423,0.293
0.258,0.434,0.295
0.274,0.433,0.3
0.279,0.436,0.309
0.291,0.443,0.311
0.29,0.457,0.299
0.271,0.461,0.297
0.277,0.465,0.285
0.281,0.481,0.284
0.285,0.486,0.287
0.288,0.474,0.296
0.288,0.462,0.284
0.275,0.456,0.28
0.279,0.444,0.291
0.287,0.441,0.285
0.287,0.432,0.285
0.279,0.416,0.282
0.29,0.411,0.286
0.307,0.412,0.317
0.318,0.438,0.324
0.33,0.449,0.321
0.338,0.448,0.32
0.339,0.446,0.322
0.358,0.453,0.362
0.382,0.469,0.406
0.394,0.474,0.407
0.396,0.481,0.399
0.382,0.488,0.392
0.36,0.472,0.372
0.344,0.452,0.374
0.34,0.463,0.372
0.345,0.467,0.371
0.358,0.466,0.37
0.341,0.461,0.343
0.31,0.463,0.323
0.297,0.442,0.296
0.307,0.439,0.289
0.292,0.43,0.285
0.298,0.433,0.287
0.307,0.445,0.294
0.302,0.439,0.298
0.292,0.437,0.297
0.278,0.44,0.286
0.283,0.477,0.296
0.281,0.475,0.294
0.285,0.466,0.285
0.285,0.484,0.282
0.281,0.487,0.288
0.295,0.483,0.297
0.286,0.488,0.285
0.287,0.468,0.289
0.285,0.468,0.284
0.284,0.459,0.292
0.304,0.457,0.307
0.308,0.459,0.316
0.334,0.465,0.33
0.361,0.467,0.358
0.387,0.466,0.386
0.432,0.483,0.418
0.435,0.483,0.422
0.43,0.486,0.42
0.435,0.479,0.425
0.427,0.486,0.419
0.417,0.484,0.402
0.419,0.488,0.393
0.393,0.499,0.379
0.353,0.494,0.348
0.327,0.491,0.33
0.307,0.465,0.297
0.29,0.449,0.29
0.29,0.444,0.29
0.301,0.442,0.287
0.295,0.44,0.287
0.282,0.456,0.292
0.278,0.45,0.286
0.273,0.453,0.292
0.278,0.436,0.286
0.281,0.448,0.295
0.288,0.44,0.297
0.289,0.441,0.299
0.293,0.431,0.292
0.309,0.437,0.294
0.288,0.431,0.306
0.291,0.432,0.315
0.293,0.434,0.306
0.294,0.434,0.302
0.297,0.43,0.296
0.301,0.441,0.304
0.3,0.433,0.307
0.303,0.432,0.319
0.317,0.441,0.342
0.347,0.449,0.375
0.39,0.463,0.399
0.395,0.483,0.398
0.402,0.514,0.413
0.414,0.517,0.414
0.435,0.548,0.443
0.443,0.55,0.441
0.442,0.552,0.452
0.444,0.538,0.448
0.405,0.538,0.422
0.38,0.536,0.403
0.361,0.534,0.367
0.358,0.519,0.366
0.359,0.514,0.359
0.34,0.508,0.344
0.317,0.489,0.324
0.329,0.477,0.326
0.337,0.484,0.313
0.345,0.491,0.315
0.332,0.504,0.317
0.337,0.505,0.334
0.344,0.496,0.333
0.333,0.507,0.333
0.335,0.502,0.338
0.332,0.494,0.336
0.335,0.499,0.345
0.333,0.492,0.358
0.332,0.483,0.357
0.336,0.483,0.338
0.327,0.488,0.343
0.342,0.493,0.338
0.329,0.49,0.333
0.322,0.481,0.328
0.331,0.501,0.335
0.332,0.497,0.327
0.324,0.497,0.314
0.32,0.482,0.317
0.317,0.476,0.315
0.306,0.471,0.316
0.307,0.467,0.321
0.296,0.449,0.315
0.299,0.461,0.301
0.286,0.464,0.293
0.308,0.463,0.288
0.302,0.451,0.302
0.295,0.454,0.32
0.286,0.458,0.319
0.28,0.479,0.31
0.288,0.493,0.307
0.298,0.5,0.3
0.3,0.494,0.301
0.288,0.497,0.29
0.301,0.485,0.288
0.293,0.481,0.292
0.287,0.482,0.293
0.287,0.49,0.295
0.303,0.504,0.294
0.292,0.504,0.31
0.287,0.483,0.31
0.293,0.476,0.31
0.286,0.465,0.296
0.284,0.454,0.295
0.296,0.46,0.294
0.285,0.461,0.291
0.278,0.478,0.29
0.28,0.463,0.281
0.278,0.459,0.29
0.28,0.45,0.295
0.286,0.457,0.289
0.283,0.464,0.291
0.29,0.468,0.294
0.295,0.458,0.294
0.307,0.463,0.288
0.31,0.457,0.295
0.311,0.441,0.294
0.312,0.426,0.28
0.315,0.434,0.286
0.304,0.426,0.28
0.297,0.418,0.283
0.28,0.422,0.284
0.28,0.421,0.285
0.279,0.454,0.284
0.282,0.458,0.292
0.278,0.46,0.304
0.276,0.48,0.301
0.278,0.486,0.283
0.269,0.483,0.288
0.272,0.484,0.29
0.282,0.48,0.285
0.294,0.479,0.28
0.289,0.493,0.278
0.281,0.466,0.283
0.292,0.464,0.281
0.3,0.477,0.281
0.302,0.467,0.277
0.297,0.462,0.275
0.301,0.456,0.277
0.295,0.45,0.289
0.309,0.449,0.287
0.291,0.464,0.288
0.296,0.449,0.283
0.286,0.458,0.293
0.284,0.456,0.293
0.283,0.445,0.291
0.279,0.445,0.298
0.28,0.434,0.297
0.274,0.438,0.293
0.272,0.431,0.286
0.273,0.429,0.281
0.27,0.423,0.277
0.265,0.421,0.276
0.274,0.439,0.281
0.277,0.424,0.279
0.284,0.435,0.273
0.283,0.43,0.282
0.283,0.436,0.272
0.276,0.442,0.28
0.271,0.447,0.272
0.274,0.448,0.27
0.281,0.439,0.272
0.272,0.44,0.269
0.268,0.43,0.28
0.266,0.435,0.28
0.27,0.437,0.278
0.273,0.439,0.288
0.272,0.441,0.291
0.288,0.435,0.295
0.283,0.44,0.296
0.302,0.437,0.299
0.296,0.437,0.289
0.294,0.437,0.285
0.283,0.435,0.284
0.289,0.451,0.285
0.29,0.459,0.289
0.282,0.454,0.292
0.274,0.442,0.301
0.284,0.435,0.305
0.266,0.424,0.299
0.262,0.428,0.302
0.263,0.425,0.292
0.259,0.421,0.296
0.27,0.424,0.291
0.269,0.427,0.289
0.266,0.419,0.28
0.265,0.414,0.277
0.26,0.425,0.279
0.267,0.427,0.287
0.264,0.436,0.291
0.272,0.435,0.288
0.288,0.442,0.279
0.302,0.45,0.267
0.301,0.446,0.265
0.289,0.446,0.272
0.283,0.449,0.28
0.298,0.44,0.285
0.291,0.43,0.273
0.276,0.436,0.271
0.285,0.426,0.271
0.279,0.443,0.272
0.273,0.434,0.269
0.277,0.447,0.278
0.292,0.436,0.268
0.3,0.44,0.279
0.292,0.44,0.286
0.304,0.432,0.281
0.298,0.435,0.281
0.294,0.433,0.275
0.284,0.449,0.277
0.285,0.453,0.29
0.293,0.451,0.289
0.288,0.469,0.29
0.284,0.472,0.285
0.276,0.479,0.284
0.279,0.478,0.289
0.278,0.472,0.291
0.281,0.476,0.289
0.284,0.487,0.293
0.28,0.478,0.295
0.277,0.47,0.298
0.287,0.467,0.285
0.275,0.468,0.289
0.268,0.448,0.293
0.272,0.444,0.287
0.274,0.438,0.276
0.269,0.437,0.277
0.279,0.441,0.284
0.282,0.427,0.276
0.278,0.43,0.271
0.269,0.426,0.267
0.271,0.422,0.272
0.263,0.416,0.271
0.267,0.403,0.273
0.283,0.415,0.271
0.277,0.421,0.277
0.271,0.443,0.284
0.273,0.438,0.277
0.279,0.444,0.278
0.28,0.452,0.286
0.284,0.446,0.286
0.276,0.464,0.276
0.284,0.459,0.281
0.3,0.453,0.293
0.297,0.457,0.284
0.291,0.443,0.277
0.284,0.442,0.277
0.286,0.413,0.281
0.286,0.407,0.289
0.283,0.41,0.276
0.286,0.404,0.282
0.28,0.405,0.278
0.278,0.398,0.274
0.269,0.403,0.281
0.272,0.403,0.276
0.279,0.422,0.269
0.278,0.429,0.289
0.276,0.435,0.274
0.272,0.45,0.276
0.271,0.435,0.27
0.266,0.441,0.278
0.264,0.43,0.282
0.274,0.436,0.286
0.265,0.438,0.282
0.265,0.441,0.287
0.276,0.437,0.298
0.267,0.426,0.298
0.26,0.424,0.293
0.272,0.411,0.281
0.277,0.429,0.282
0.27,0.432,0.288
0.276,0.428,0.291
0.272,0.43,0.275
0.265,0.426,0.277
0.275,0.426,0.272
0.271,0.417,0.271
0.272,0.425,0.265
0.275,0.432,0.271
0.284,0.435,0.271
0.292,0.435,0.27
0.295,0.439,0.276
0.302,0.439,0.274
0.306,0.442,0.287
0.303,0.45,0.29
0.297,0.442,0.298
0.295,0.441,0.297
0.302,0.433,0.301
0.288,0.427,0.296
0.284,0.421,0.29
0.282,0.421,0.278
0.283,0.416,0.272
0.277,0.407,0.268
0.28,0.401,0.281
0.282,0.411,0.274
0.288,0.41,0.275
0.291,0.422,0.29
0.283,0.432,0.284
0.282,0.427,0.283
0.278,0.429,0.28
0.281,0.412,0.289
0.279,0.421,0.283
0.278,0.433,0.283
0.282,0.449,0.282
0.286,0.452,0.284
0.273,0.449,0.287
0.262,0.461,0.287
0.262,0.451,0.287
0.263,0.456,0.291
0.27,0.472,0.294
0.267,0.484,0.294
0.272,0.467,0.299
0.279,0.458,0.299
0.281,0.443,0.289
0.285,0.442,0.282
0.286,0.458,0.283
0.288,0.438,0.287
0.293,0.433,0.272
0.29,0.424,0.27
0.286,0.424,0.276
0.286,0.428,0.274
0.278,0.441,0.271
0.271,0.442,0.277
0.272,0.442,0.273
0.288,0.434,0.292
0.289,0.45,0.292
0.29,0.442,0.281
0.3,0.453,0.276
0.288,0.447,0.275
0.298,0.446,0.277
0.3,0.432,0.282
0.31,0.42,0.295
0.308,0.428,0.278
0.302,0.428,0.276
0.301,0.423,0.285
0.288,0.425,0.282
0.268,0.411,0.275
0.276,0.413,0.274
0.277,0.413,0.279
0.278,0.413,0.277
0.287,0.429,0.278
0.289,0.428,0.27
0.291,0.43,0.273
0.295,0.431,0.276
0.298,0.43,0.272
0.281,0.442,0.284
0.277,0.431,0.287
0.279,0.425,0.276
0.286,0.43,0.273
0.285,0.427,0.276
0.277,0.422,0.274
0.273,0.416,0.269
0.281,0.426,0.275
0.278,0.425,0.285
0.286,0.415,0.286
0.278,0.43,0.287
0.289,0.437,0.294
0.277,0.427,0.287
0.286,0.417,0.281
0.29,0.414,0.276
0.285,0.417,0.275
0.284,0.418,0.281
0.287,0.407,0.282
0.294,0.414,0.275
0.301,0.415,0.286
