group_history_insertion,collector_monitoring_information_bolt,metric_extraction
0.326,0.433,0.333
0.322,0.444,0.337
0.327,0.438,0.339
0.353,0.449,0.346
0.346,0.454,0.34
0.347,0.465,0.329
0.342,0.458,0.324
0.339,0.453,0.329
0.332,0.449,0.325
0.336,0.446,0.34
0.342,0.447,0.314
0.324,0.456,0.322
0.321,0.453,0.309
0.322,0.438,0.316
0.323,0.416,0.319
0.314,0.403,0.322
0.325,0.409,0.324
0.321,0.412,0.337
0.315,0.412,0.345
0.329,0.408,0.322
0.322,0.419,0.319
0.316,0.421,0.34
0.325,0.416,0.33
0.326,0.412,0.333
0.334,0.413,0.32
0.326,0.415,0.319
0.326,0.422,0.317
0.317,0.424,0.317
0.325,0.447,0.328
0.329,0.45,0.309
0.32,0.462,0.324
0.321,0.455,0.32
0.328,0.461,0.314
0.314,0.465,0.321
0.312,0.456,0.32
0.31,0.448,0.328
0.314,0.446,0.325
0.317,0.451,0.322
0.326,0.44,0.337
0.331,0.427,0.337
0.337,0.419,0.327
0.343,0.414,0.312
0.337,0.419,0.318
0.335,0.424,0.319
0.328,0.444,0.315
0.333,0.45,0.318
0.331,0.451,0.322
0.342,0.457,0.327
0.332,0.475,0.327
0.335,0.476,0.319
0.337,0.482,0.321
0.335,0.502,0.317
0.33,0.502,0.332
0.318,0.496,0.324
0.322,0.495,0.337
0.33,0.488,0.321
0.322,0.496,0.328
0.33,0.491,0.322
0.329,0.483,0.316
0.329,0.477,0.307
0.337,0.48,0.312
0.333,0.471,0.312
0.33,0.461,0.326
0.336,0.453,0.323
0.344,0.455,0.33
0.367,0.46,0.336
0.366,0.462,0.335
0.346,0.449,0.34
0.347,0.446,0.338
0.354,0.445,0.34
0.344,0.441,0.343
0.359,0.456,0.356
0.351,0.441,0.352
0.345,0.458,0.344
0.347,0.467,0.345
0.355,0.452,0.35
0.353,0.47,0.336
0.358,0.459,0.351
0.357,0.471,0.359
0.358,0.462,0.348
0.351,0.475,0.35
0.35,0.476,0.347
0.349,0.482,0.337
0.359,0.467,0.35
0.362,0.461,0.357
0.354,0.46,0.36
0.345,0.447,0.353
0.352,0.487,0.343
0.34,0.479,0.338
0.341,0.5,0.334
0.345,0.498,0.334
0.345,0.494,0.336
0.347,0.495,0.348
0.341,0.502,0.344
0.34,0.503,0.355
0.335,0.523,0.35
0.326,0.531,0.341
0.327,0.502,0.353
0.333,0.489,0.362
0.335,0.467,0.36
0.335,0.477,0.354
0.328,0.484,0.346
0.316,0.474,0.329
0.319,0.477,0.331
0.321,0.476,0.343
0.322,0.468,0.327
0.326,0.469,0.334
0.339,0.469,0.327
0.334,0.479,0.319
0.332,0.484,0.322
0.325,0.486,0.328
0.311,0.473,0.32
0.313,0.468,0.339
0.316,0.463,0.334
0.321,0.47,0.319
0.317,0.456,0.315
0.324,0.453,0.32
0.321,0.447,0.312
0.325,0.433,0.322
0.338,0.438,0.321
0.34,0.422,0.314
0.326,0.446,0.318
0.337,0.44,0.313
0.333,0.449,0.314
0.324,0.444,0.333
0.323,0.456,0.327
0.336,0.448,0.324
0.36,0.45,0.332
0.356,0.452,0.331
0.348,0.456,0.323
0.348,0.458,0.316
0.335,0.457,0.316
0.337,0.45,0.317
0.319,0.439,0.317
0.322,0.44,0.317
0.327,0.431,0.328
0.319,0.439,0.327
0.319,0.436,0.322
0.322,0.432,0.331
0.321,0.429,0.323
0.313,0.426,0.331
0.327,0.436,0.32
0.327,0.431,0.312
0.327,0.435,0.314
0.335,0.451,0.323
0.351,0.449,0.317
0.352,0.463,0.32
0.345,0.468,0.325
0.347,0.469,0.311
0.326,0.485,0.327
0.331,0.481,0.324
0.325,0.474,0.328
0.328,0.466,0.322
0.327,0.468,0.317
0.321,0.473,0.323
0.319,0.452,0.322
0.317,0.448,0.326
0.322,0.446,0.322
0.333,0.439,0.326
0.325,0.432,0.321
0.338,0.445,0.318
0.327,0.45,0.314
0.33,0.443,0.317
0.333,0.437,0.318
0.334,0.444,0.327
0.333,0.446,0.332
0.334,0.45,0.331
0.332,0.45,0.339
0.347,0.458,0.316
0.34,0.446,0.328
0.337,0.441,0.318
0.33,0.436,0.318
0.321,0.453,0.324
0.323,0.459,0.322
0.311,0.462,0.345
0.31,0.469,0.338
0.321,0.453,0.338
0.32,0.461,0.335
0.317,0.46,0.35
0.315,0.455,0.322
0.321,0.466,0.328
0.316,0.463,0.332
0.331,0.442,0.323
0.327,0.437,0.32
0.333,0.431,0.327
0.344,0.436,0.333
0.344,0.454,0.337
0.335,0.461,0.328
0.325,0.456,0.324
0.325,0.439,0.312
0.327,0.45,0.32
0.321,0.453,0.322
0.319,0.465,0.314
0.318,0.465,0.315
0.332,0.47,0.321
0.331,0.46,0.318
0.33,0.448,0.317
0.325,0.44,0.328
0.331,0.442,0.327
0.338,0.452,0.321
0.341,0.453,0.328
0.344,0.452,0.331
0.35,0.447,0.312
0.356,0.452,0.315
0.353,0.448,0.31
0.339,0.455,0.309
0.329,0.458,0.312
0.331,0.45,0.315
0.322,0.457,0.321
0.321,0.464,0.319
0.317,0.461,0.332
0.318,0.47,0.318
0.316,0.482,0.317
0.311,0.477,0.327
0.315,0.47,0.325
0.326,0.52,0.339
0.329,0.53,0.334
0.325,0.529,0.329
0.328,0.526,0.326
0.325,0.512,0.339
0.325,0.495,0.329
0.324,0.505,0.32
0.328,0.504,0.32
0.32,0.483,0.318
0.338,0.494,0.324
0.349,0.445,0.336
0.355,0.44,0.331
0.352,0.439,0.324
0.329,0.448,0.324
0.333,0.458,0.31
0.33,0.465,0.313
0.338,0.473,0.321
0.342,0.49,0.337
0.339,0.491,0.339
0.327,0.508,0.34
0.33,0.495,0.34
0.329,0.509,0.337
0.328,0.495,0.336
0.328,0.492,0.347
0.333,0.477,0.328
0.341,0.475,0.33
0.33,0.462,0.328
0.322,0.464,0.322
0.346,0.464,0.311
0.319,0.471,0.312
0.319,0.467,0.309
0.314,0.453,0.313
0.317,0.466,0.308
0.32,0.467,0.308
0.322,0.455,0.329
0.324,0.458,0.324
0.327,0.461,0.322
0.327,0.466,0.339
0.338,0.469,0.325
0.344,0.465,0.327
0.334,0.469,0.317
0.347,0.476,0.339
0.339,0.46,0.32
0.334,0.459,0.321
0.345,0.456,0.317
0.346,0.459,0.318
0.338,0.456,0.316
0.342,0.441,0.315
0.326,0.433,0.324
0.324,0.425,0.318
0.32,0.423,0.316
0.325,0.416,0.322
0.326,0.417,0.312
0.311,0.411,0.316
0.328,0.41,0.325
0.337,0.419,0.327
0.329,0.42,0.323
0.331,0.422,0.318
0.341,0.419,0.314
0.339,0.423,0.324
0.334,0.429,0.318
0.336,0.429,0.316
0.333,0.436,0.314
0.328,0.436,0.336
0.324,0.43,0.328
0.317,0.434,0.316
0.325,0.426,0.33
0.335,0.439,0.322
0.323,0.439,0.324
0.32,0.441,0.316
0.314,0.445,0.324
0.312,0.449,0.319
0.31,0.457,0.322
0.313,0.446,0.325
0.315,0.448,0.324
0.318,0.439,0.326
0.317,0.44,0.317
0.315,0.422,0.31
0.318,0.439,0.317
0.322,0.424,0.305
0.318,0.429,0.311
0.326,0.443,0.303
0.331,0.437,0.308
0.332,0.456,0.313
0.34,0.471,0.32
0.336,0.477,0.319
0.333,0.49,0.319
0.329,0.509,0.323
0.333,0.503,0.322
0.345,0.504,0.317
0.344,0.512,0.317
0.333,0.493,0.317
0.338,0.501,0.321
0.324,0.503,0.323
0.318,0.468,0.325
0.324,0.475,0.326
0.329,0.468,0.32
0.338,0.467,0.334
0.364,0.487,0.35
0.371,0.512,0.38
0.383,0.521,0.386
0.377,0.518,0.387
0.38,0.508,0.392
0.386,0.499,0.392
0.38,0.493,0.382
0.39,0.503,0.387
0.392,0.519,0.407
0.402,0.52,0.426
0.41,0.5,0.411
0.394,0.475,0.428
0.386,0.469,0.424
0.398,0.478,0.444
0.376,0.492,0.44
0.384,0.497,0.422
0.389,0.513,0.441
0.406,0.525,0.469
0.421,0.546,0.499
0.43,0.565,0.5
0.436,0.574,0.497
0.432,0.561,0.495
0.437,0.56,0.51
0.434,0.539,0.494
0.436,0.535,0.471
0.446,0.534,0.471
0.448,0.546,0.49
0.447,0.558,0.466
0.426,0.548,0.469
0.414,0.54,0.44
0.415,0.535,0.433
0.398,0.539,0.424
0.382,0.535,0.394
0.388,0.538,0.405
0.391,0.537,0.423
0.411,0.535,0.444
0.411,0.534,0.454
0.42,0.524,0.437
0.406,0.553,0.433
0.406,0.541,0.43
0.4,0.531,0.439
0.4,0.532,0.455
0.393,0.517,0.452
0.381,0.523,0.437
0.379,0.507,0.425
0.381,0.499,0.421
0.369,0.493,0.406
0.366,0.476,0.382
0.367,0.439,0.373
0.378,0.429,0.368
0.384,0.454,0.384
0.385,0.475,0.38
0.401,0.472,0.387
0.395,0.484,0.411
0.4,0.487,0.404
0.382,0.5,0.405
0.415,0.499,0.42
0.415,0.504,0.422
0.406,0.49,0.406
0.405,0.494,0.405
0.404,0.497,0.409
0.4,0.495,0.397
0.397,0.504,0.417
0.394,0.509,0.409
0.4,0.497,0.415
0.407,0.482,0.414
0.407,0.477,0.414
0.398,0.475,0.423
0.406,0.475,0.449
0.395,0.493,0.427
0.381,0.477,0.406
0.374,0.47,0.387
0.359,0.486,0.354
0.343,0.487,0.346
0.35,0.473,0.343
0.355,0.481,0.346
0.365,0.486,0.358
0.374,0.51,0.38
0.394,0.525,0.4
0.39,0.544,0.439
0.391,0.557,0.456
0.404,0.55,0.452
0.409,0.548,0.448
0.412,0.554,0.457
0.403,0.564,0.45
0.405,0.569,0.431
0.388,0.561,0.425
0.38,0.555,0.425
0.366,0.535,0.392
0.365,0.53,0.39
0.352,0.507,0.35
0.349,0.519,0.34
0.362,0.522,0.352
0.365,0.505,0.358
0.371,0.492,0.358
0.375,0.48,0.369
0.383,0.478,0.372
0.391,0.477,0.381
0.366,0.487,0.38
0.374,0.486,0.37
0.384,0.492,0.388
0.386,0.482,0.38
0.386,0.492,0.378
0.383,0.501,0.391
0.396,0.515,0.381
0.384,0.512,0.374
0.383,0.494,0.364
0.38,0.508,0.358
0.38,0.509,0.364
0.377,0.512,0.349
0.383,0.521,0.356
0.367,0.532,0.347
0.375,0.532,0.344
0.35,0.513,0.346
0.353,0.498,0.348
0.355,0.481,0.354
0.36,0.483,0.359
0.373,0.49,0.354
0.379,0.456,0.366
0.372,0.451,0.36
0.376,0.446,0.366
0.378,0.451,0.373
0.376,0.442,0.371
0.377,0.447,0.368
0.366,0.438,0.354
0.354,0.436,0.356
0.351,0.435,0.362
0.359,0.436,0.356
0.362,0.463,0.357
0.356,0.466,0.356
0.364,0.461,0.35
0.362,0.464,0.357
0.372,0.472,0.352
0.367,0.486,0.359
0.368,0.493,0.367
0.371,0.514,0.357
0.372,0.522,0.373
0.375,0.516,0.374
0.359,0.513,0.367
0.361,0.508,0.363
0.35,0.505,0.349
0.36,0.486,0.345
0.353,0.48,0.338
0.35,0.475,0.338
0.355,0.473,0.336
0.362,0.469,0.342
0.349,0.44,0.341
0.355,0.453,0.335
0.339,0.449,0.328
0.335,0.451,0.331
0.328,0.437,0.32
0.339,0.445,0.314
0.354,0.45,0.313
0.361,0.455,0.325
0.34,0.461,0.314
0.353,0.459,0.322
0.341,0.477,0.323
0.337,0.47,0.317
0.333,0.478,0.319
0.34,0.469,0.33
